dataset,sample,status,n_genes_used,tp53_in_universe,n_subclone_obs,n_subclone_ref,n_cells_grouped,n_cells_consensus,icnv_labelled_frac,cons_covered_frac,frac_genes_nonneutral
GSE116256,BM5-34p38n,ok,5144,TRUE,74,0,4823,1223,0.253576612067178,1,0.254689193647203
GSE185381,GSM5613744_2019-07-01-count-1,ok,5032,FALSE,57,31,7592,7592,1,1,0.0958282575929635
GSE185381,GSM5613745_2019-07-01-count-2,ok,4409,FALSE,69,34,8352,8352,1,1,0.154813544265518
GSE185381,GSM5613746_2019-07-01-count-3,ok,4085,FALSE,63,31,8497,8497,1,1,0.134544988756369
GSE185381,GSM5613748_2019-08-01-count-2,ok,4683,FALSE,40,45,5206,5206,1,1,0.0915766246707951
GSE185381,GSM5613749_2019-08-01-count-3,ok,4733,FALSE,36,42,4455,4455,1,1,0.135578561870554
GSE185381,GSM5613750_2019-08-01-count-4,ok,4891,FALSE,40,40,4557,4557,1,1,0.10492853801923
GSE185381,GSM5613751_2019-08-29-count-1,ok,3966,FALSE,52,19,4744,4744,1,1,0.18423501168382
GSE185381,GSM5613752_2019-08-29-count-2,ok,3867,FALSE,51,19,4763,4763,1,1,0.218897921093759
GSE185381,GSM5613756_2019-10-25-count-5,ok,4271,FALSE,56,21,4914,4914,1,1,0.144930929524701
GSE185381,GSM5613757_2019-11-04-count-1,ok,4115,FALSE,38,47,4225,4225,1,1,0.119778207519723
GSE185381,GSM5613758_2019-11-04-count-2,ok,4165,TRUE,31,30,2995,2995,1,1,0.135245677218256
GSE185381,GSM5613759_2019-11-04-count-3,ok,2822,FALSE,44,27,3522,3522,1,1,0.240700617596436
GSE185381,GSM5613760_2019-11-19-count-1,ok,6400,TRUE,63,29,7271,7271,1,1,0.222634191176471
GSE185381,GSM5613761_2019-11-19-count-2,ok,7030,TRUE,56,29,7110,7110,1,1,0.171748166485009
GSE185381,GSM5613762_2019-11-26-count-1,ok,5917,TRUE,63,48,8406,8406,1,1,0.150882445254593
GSE185381,GSM5613763_2019-11-26-count-2,ok,4228,TRUE,62,46,7929,7929,1,1,0.170102248744633
GSE185381,GSM5613764_2020-01-03-count-1,ok,6657,TRUE,57,32,7214,7214,1,1,0.135456167540495
GSE185381,GSM5613765_2020-01-03-count-2,ok,6102,TRUE,66,37,7821,7821,1,1,0.182644153335941
GSE185381,GSM5613766_2020-03-18-AML0048-c1,ok,3395,FALSE,32,6,1888,1888,1,1,0.357707412862052
GSE185381,GSM5613767_2020-03-18-AML0048-c2,ok,3408,FALSE,34,7,2004,2004,1,1,0.340808005930319
GSE185381,GSM5613768_2020-03-18-AML3266,ok,6508,TRUE,21,15,1468,1468,1,1,0.154028788389476
GSE185381,GSM5613769_2020-03-18-count-1,ok,3228,FALSE,59,38,5573,5573,1,1,0.211989891817384
GSE185381,GSM5613770_2020-03-18-count-2,ok,3114,FALSE,54,34,5230,5230,1,1,0.193935988011133
GSE185381,GSM5613771_2020-03-18-count-3,ok,3831,FALSE,50,33,5008,5008,1,1,0.224409423127121
GSE185381,GSM5613774_2020-08-26-Control4003-c1,ok,3228,FALSE,11,16,1014,1014,1,1,0.20163061845218
