dataset,sample,timepoint,symbol_in_ref,n_cells,n_nonzero,pct_nonzero
GSE201966,GSM6085180_AML02M5_RE,Relapse,PVRL4,9910,456,4.60141271442987
GSE185381,GSM5613768_2020-03-18-AML3266,Diagnosis,NECTIN4,1468,64,4.35967302452316
GSE289435,GSM8791432_MLL_14666,Diagnosis,NECTIN4,9152,302,3.29982517482518
Chen2023,AML103_CD34,Diagnosis,PVRL4,769,25,3.25097529258778
GSE185991,GSM5628187_M40,Diagnosis,NECTIN4,1975,63,3.18987341772152
GSE185381,GSM5613761_2019-11-19-count-2,Diagnosis,NECTIN4,7110,176,2.47538677918425
Chen2023,AML162_CD34,Diagnosis,PVRL4,2275,53,2.32967032967033
GSE185381,GSM5613760_2019-11-19-count-1,Diagnosis,NECTIN4,7271,143,1.96671709531014
GSE185381,GSM5613764_2020-01-03-count-1,Diagnosis,NECTIN4,7214,119,1.64957028001109
GSE289435,GSM8791442_MLL_29538,Diagnosis,NECTIN4,4632,72,1.55440414507772
GSE227903,3904_MRD,MRD,NECTIN4,2301,34,1.47761842677097
GSE185381,GSM5613765_2020-01-03-count-2,Diagnosis,NECTIN4,7821,115,1.47040020457742
GSE227903,5750_MRD,MRD,NECTIN4,2223,27,1.21457489878543
GSE227903,1886_Dg,Diagnosis,NECTIN4,3270,36,1.10091743119266
GSE185381,GSM5613766_2020-03-18-AML0048-c1,Diagnosis,NECTIN4,1888,19,1.00635593220339
GSE185991,GSM6412453_M92,Post_treatment,NECTIN4,2543,25,0.983090837593394
GSE227903,1886_R,Relapse,NECTIN4,1743,17,0.975329890992542
GSE289435,GSM8791436_MLL_17844,Diagnosis,NECTIN4,13050,124,0.950191570881226
GSE185991,GSM5628182_M32,Diagnosis,NECTIN4,4500,39,0.866666666666667
GSE227903,4978_R,Relapse,NECTIN4,2035,14,0.687960687960688
GSE227903,4978_Dg,Diagnosis,NECTIN4,2679,18,0.671892497200448
GSE147989,007SCRBL,Diagnosis,PVRL4,1354,9,0.664697193500739
GSE147989,007C1D1BL,Post_treatment,PVRL4,2378,15,0.630782169890664
GSE227903,4978_MRD,MRD,NECTIN4,1732,10,0.577367205542725
GSE185991,GSM5628172_M22,Diagnosis,NECTIN4,4601,26,0.565094544664203
