stratum,pathway,n_cells_mut,n_cells_WT,auc,p_cell,mean_mut,mean_WT,n_pairs,median_delta,p_sample_higher,fdr_sample
Mono_DC,KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,5446,14576,0.414270997898537,5.07099152806441e-78,0.032574016003512,0.0367218357920238,8,-0.000429264705569615,0.6796875,0.731971153846154
Mono_DC,HALLMARK_TGF_BETA_SIGNALING_UCell,5446,14576,0.409533573417967,1.14508869478587e-86,0.0854067739305234,0.0949499863952932,8,-0.00266165197323481,0.875,0.875
all,HALLMARK_INFLAMMATORY_RESPONSE_UCell,28444,29208,0.512057857147919,5.32724975798859e-07,0.0555055586680439,0.0551498024077152,9,0.00516834931309066,0.248046875,0.91796875
all,HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,28444,29208,0.486170206704069,8.87293894077422e-09,0.0577492200370594,0.0599030354097533,9,0.000376452533965253,0.5,0.91796875
all,KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,28444,29208,0.477799970166312,2.66487194285572e-20,0.0358978306357187,0.0372505027976992,9,-8.06070344056831e-05,0.544921875,0.91796875
all,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,28444,29208,0.434868084823198,1.50202422497718e-161,0.0734023572784218,0.0780437531996692,9,0.00113676785107126,0.58984375,0.91796875
all,HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,28444,29208,0.421832053047113,8.96446707470121e-232,0.0900284788287237,0.099862039270589,9,0.002936755050243,0.58984375,0.91796875
all,HALLMARK_ANGIOGENESIS_UCell,28444,29208,0.355719908577107,0,0.0354668461191416,0.0475798001785454,9,-0.00115525349551629,0.6328125,0.91796875
all,HALLMARK_COAGULATION_UCell,28444,29208,0.320945477360389,0,0.0267743465420283,0.0368531535540323,9,0.000826657578502886,0.673828125,0.91796875
all,HALLMARK_P53_PATHWAY_UCell,28444,29208,0.44192534405998,7.51274553651123e-129,0.0814844826629878,0.0851376094281432,9,-0.00390425927776418,0.751953125,0.91796875
all,KEGG_ECM_RECEPTOR_INTERACTION_UCell,28444,29208,0.469311903343087,2.69566411736824e-37,0.0158720802153247,0.0168596807776821,9,-0.000694044744330085,0.787109375,0.91796875
all,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,28444,29208,0.350750329247133,0,0.0277917941391524,0.0328348135825767,9,-0.00133381147436105,0.8203125,0.91796875
all,REACTOME_COLLAGEN_FORMATION_UCell,28444,29208,0.361817471328865,0,0.0165086411440631,0.0220261724651171,9,-0.000457463354233408,0.8203125,0.91796875
all,HALLMARK_HYPOXIA_UCell,28444,29208,0.430549861994878,2.12167190715126e-183,0.0769920978593466,0.0819429467659196,9,0.000477626059206898,0.8203125,0.91796875
all,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,28444,29208,0.33675658583819,0,0.0362026219737457,0.0450272068887537,9,-0.00311601858236019,0.875,0.91796875
