feature,median_p,min_p,frac_p05,frac_p01,n_draws_evaluable,kind,design,mut_def,n_mut_units,n_wt_candidates
HALLMARK_ANGIOGENESIS_UCell,0.455078125,0.02734375,0.012,0,500,pathway,A_sample_strict,strict,9,96
HALLMARK_COAGULATION_UCell,0.58984375,0.248046875,0,0,500,pathway,A_sample_strict,strict,9,96
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,0.71484375,0.125,0,0,500,pathway,A_sample_strict,strict,9,96
HALLMARK_HYPOXIA_UCell,0.455078125,0.037109375,0.02,0,500,pathway,A_sample_strict,strict,9,96
HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,0.326171875,0.037109375,0.014,0,500,pathway,A_sample_strict,strict,9,96
HALLMARK_INFLAMMATORY_RESPONSE_UCell,0.248046875,0.01953125,0.058,0,500,pathway,A_sample_strict,strict,9,96
HALLMARK_P53_PATHWAY_UCell,0.544921875,0.064453125,0,0,500,pathway,A_sample_strict,strict,9,96
HALLMARK_TGF_BETA_SIGNALING_UCell,0.673828125,0.048828125,0.004,0,500,pathway,A_sample_strict,strict,9,96
HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,0.58984375,0.048828125,0.002,0,500,pathway,A_sample_strict,strict,9,96
KEGG_ECM_RECEPTOR_INTERACTION_UCell,0.673828125,0.248046875,0,0,500,pathway,A_sample_strict,strict,9,96
KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,0.544921875,0.1015625,0,0,500,pathway,A_sample_strict,strict,9,96
REACTOME_COLLAGEN_FORMATION_UCell,0.71484375,0.248046875,0,0,500,pathway,A_sample_strict,strict,9,96
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,0.544921875,0.1015625,0,0,500,pathway,A_sample_strict,strict,9,96
REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,0.326171875,0.013671875,0.018,0,500,pathway,A_sample_strict,strict,9,96
HALLMARK_ANGIOGENESIS_UCell,0.28125,0.015625,0.134,0,500,pathway,B_patient_strict,strict,6,75
HALLMARK_COAGULATION_UCell,0.421875,0.046875,0.018,0,500,pathway,B_patient_strict,strict,6,75
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,0.421875,0.046875,0.024,0,500,pathway,B_patient_strict,strict,6,75
HALLMARK_HYPOXIA_UCell,0.34375,0.015625,0.126,0,500,pathway,B_patient_strict,strict,6,75
HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,0.34375,0.046875,0.008,0,500,pathway,B_patient_strict,strict,6,75
HALLMARK_INFLAMMATORY_RESPONSE_UCell,0.15625,0.03125,0.118,0,500,pathway,B_patient_strict,strict,6,75
HALLMARK_P53_PATHWAY_UCell,0.421875,0.015625,0.028,0,500,pathway,B_patient_strict,strict,6,75
HALLMARK_TGF_BETA_SIGNALING_UCell,0.421875,0.015625,0.034,0,500,pathway,B_patient_strict,strict,6,75
HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,0.28125,0.015625,0.078,0,500,pathway,B_patient_strict,strict,6,75
KEGG_ECM_RECEPTOR_INTERACTION_UCell,0.65625,0.15625,0,0,500,pathway,B_patient_strict,strict,6,75
KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,0.5,0.109375,0,0,500,pathway,B_patient_strict,strict,6,75
REACTOME_COLLAGEN_FORMATION_UCell,0.5,0.046875,0.01,0,500,pathway,B_patient_strict,strict,6,75
