ligand,label,n_AML_present,n_healthy_present,prevalence_AML,prevalence_healthy,primitive_sender_share__median_AML,primitive_sender_share__median_healthy,primitive_sender_share__p_pooled,primitive_sender_share__shift,primitive_receiver_share__median_AML,primitive_receiver_share__median_healthy,primitive_receiver_share__p_pooled,primitive_receiver_share__shift,primitive_autocrine_share__median_AML,primitive_autocrine_share__median_healthy,primitive_autocrine_share__p_pooled,primitive_autocrine_share__shift,prim_to_immune_share__median_AML,prim_to_immune_share__median_healthy,prim_to_immune_share__p_pooled,prim_to_immune_share__shift,immune_receiver_share__median_AML,immune_receiver_share__median_healthy,immune_receiver_share__p_pooled,immune_receiver_share__shift,n_AML_bothDS,n_healthy_bothDS,primitive_sender_share__p_bothDS,primitive_sender_share__median_AML_bothDS,primitive_sender_share__median_healthy_bothDS,primitive_receiver_share__p_bothDS,primitive_receiver_share__median_AML_bothDS,primitive_receiver_share__median_healthy_bothDS,primitive_autocrine_share__p_bothDS,primitive_autocrine_share__median_AML_bothDS,primitive_autocrine_share__median_healthy_bothDS,prim_to_immune_share__p_bothDS,prim_to_immune_share__median_AML_bothDS,prim_to_immune_share__median_healthy_bothDS,immune_receiver_share__p_bothDS,immune_receiver_share__median_AML_bothDS,immune_receiver_share__median_healthy_bothDS
MIF,MIF,118,25,0.9752066115702479,0.9259259259259259,0.48325745664042863,0.4705309672265927,0.47770825984386645,higher_in_AML,0.2579487704329563,0.17548229868974927,0.021238451331899093,higher_in_AML,0.13390149529865403,0.10296170051421337,0.04389919128088342,higher_in_AML,0.3160623997162504,0.3675692667123794,0.45107106249227835,higher_in_healthy,0.7219127469195139,0.8163450041234881,0.019494163163120252,higher_in_healthy,50,16,0.24611120936493358,0.42127343878566514,0.5125049365438623,0.41687930949768315,0.232502195594426,0.2678182514721604,0.29261857731813745,0.10439250532599512,0.14230990894740175,0.2712641532915192,0.316983763256071,0.36534690977807016,0.49869827722584203,0.7615263136783046,0.7023087908429091
LGALS9,Galectin-9 (LGALS9),97,24,0.8016528925619835,0.8888888888888888,0.46637417200000164,0.191170997814373,0.0008652922397011503,higher_in_AML,0.3398322157049801,0.23947275960595682,0.0021644869908972126,higher_in_AML,0.16209847664421137,0.045424625673182055,0.002892700401023363,higher_in_AML,0.2585658451524493,0.1131629292443253,0.0020297110756840237,higher_in_AML,0.5696173856912484,0.7301525052561595,0.00046741665391302584,higher_in_healthy,36,14,0.2054021014239381,0.4823793336377214,0.37813618099433155,0.9913782350649987,0.31758368141267523,0.32490171952007185,0.5734941313866972,0.1653276314334148,0.1245121575447654,0.07106936147334639,0.28945956119410354,0.19072502208643513,0.6115364224887749,0.5892108825088551,0.5868855100009951
CD99,CD99,116,26,0.9586776859504132,0.9629629629629629,0.6240111049670318,0.17655106084330402,2.878851863981429e-05,higher_in_AML,0.6038274317041259,0.060463213760133215,1.776201320242464e-05,higher_in_AML,0.33731964771408585,0.0,3.6141219911751385e-05,higher_in_AML,0.1574650652753978,0.12811795741649737,0.3324921299269896,higher_in_AML,0.34650186304717734,0.7630459846131823,3.3181307050003255e-05,higher_in_healthy,45,16,0.13775628279894447,0.5730267189266129,0.5109776936810799,0.1354654079691832,0.5428274743609501,0.47703539780275717,0.14997662818474375,0.3182907645377813,0.2530969907260219,0.7735289396511802,0.17498562325679276,0.16902758718260252,0.065985001669958,0.3519103081202342,0.5229646021972428
