dataset,sample,ligand,n_edges,total_prob,primitive_sender_share,primitive_receiver_share,primitive_autocrine_share,immune_receiver_share,prim_to_immune_share,group
E-MTAB-11536,A35-BMA,LGALS9,13,0.856768908934256,0.0,0.1596534890875665,0.0,0.8403465109124334,0.0,healthy
E-MTAB-11536,A35-BMA,MIF,15,3.013752621138705,0.4606697392710949,0.0,0.0,1.0,0.4606697392710949,healthy
E-MTAB-11536,A36-BLD,CD99,13,1.7882795386223982,0.0,0.0,0.0,0.64239680838179,0.0,healthy
E-MTAB-11536,A36-BLD,LGALS9,9,0.3891641463475159,0.0,0.0,0.0,1.0,0.0,healthy
E-MTAB-11536,A36-BLD,MIF,7,1.130708675753248,0.0,0.0,0.0,1.0,0.0,healthy
E-MTAB-11536,A36-BMA,CD99,11,1.131210404916493,0.024574391168832584,0.0,0.0,0.5386825595757492,0.024574391168832584,healthy
E-MTAB-11536,A36-BMA,LGALS9,13,0.3729756007708453,0.0,0.17123518280657063,0.0,0.807542926819842,0.0,healthy
E-MTAB-11536,A36-BMA,MIF,15,2.663409957880026,0.4702130545242248,0.0,0.0,1.0,0.4702130545242248,healthy
E-MTAB-11536,A37-BMA,CD99,6,0.3078774036075908,0.0,0.0,0.0,1.0,0.0,healthy
E-MTAB-11536,A37-BMA,LGALS9,15,0.4938404704719507,0.1451062291479949,0.22823084356249537,0.047763898472761045,0.7717691564375047,0.09734233067523389,healthy
E-MTAB-11536,A37-BMA,MIF,10,2.3289173891012145,0.5987811636193857,0.0,0.0,1.0,0.5987811636193857,healthy
GSE116256,AML1012-D0,CD99,8,1.437951997256941,0.6613294955061467,0.6613294955061468,0.4283231559334989,0.0,0.0,AML
GSE116256,AML1012-D0,MIF,3,0.2604172849901979,0.6787412695225322,0.0,0.0,1.0,0.6787412695225322,AML
GSE116256,AML210A-D0,MIF,8,0.3946659876033506,0.39336239324244854,0.0,0.0,1.0,0.39336239324244854,AML
GSE116256,AML328-D113,MIF,4,0.3287012264957988,0.0,0.0,0.0,1.0,0.0,AML
GSE116256,AML328-D171,LGALS9,3,0.1011027025093332,0.0,0.2749492251287263,0.0,0.4713246410799744,0.0,AML
GSE116256,AML328-D171,MIF,5,0.36246027082152305,0.3772698694470045,0.6449215101690012,0.22908470656189941,0.0,0.0,AML
GSE116256,AML328-D29,CD99,7,0.1615420856082892,0.9618234734586839,0.8852397429293036,0.8852397429293036,0.11476025707069631,0.07658373052938026,AML
GSE116256,AML328-D29,LGALS9,34,1.2055542775175265,0.5878296810561164,0.3398322157049801,0.19997431575334984,0.6337155452588764,0.3730072185206769,AML
GSE116256,AML328-D29,MIF,12,1.5197841002791634,0.6612088693045104,0.4192559835312696,0.27720419684553615,0.5807440164687304,0.38400467245897424,AML
GSE116256,AML329-D20,CD99,2,0.0254639171743712,0.5,0.5,0.0,0.0,0.0,AML
GSE116256,AML329-D20,MIF,7,0.41487098819381985,0.4161097958983178,0.0,0.0,1.0,0.4161097958983178,AML
GSE116256,AML419A-D0,LGALS9,9,0.03700540058390311,1.0,0.2718688188534849,0.2718688188534849,0.65967145088022,0.65967145088022,AML
GSE116256,AML419A-D0,MIF,17,1.5634858660604836,0.5671273541582621,0.16242185735062062,0.09026282859893534,0.8375781426493794,0.47686452555932685,AML
GSE116256,AML420B-D14,MIF,4,0.1310046699834838,0.0,0.0,0.0,1.0,0.0,AML
GSE116256,AML556-D0,CD99,4,0.0390312850466873,0.0,0.0,0.0,1.0,0.0,AML
GSE116256,AML556-D0,MIF,13,0.6378679659444835,0.42643708167301253,0.14666765087412506,0.04672549422325033,0.8533323491258747,0.3797115874497622,AML
GSE116256,AML556-D15,CD99,1,0.020516485723817,0.0,0.0,0.0,1.0,0.0,AML
GSE116256,AML556-D15,MIF,2,0.0984615912219482,0.0,0.0,0.0,1.0,0.0,AML
GSE116256,AML556-D31,CD99,8,0.0689225374614052,0.21270701442194412,0.21270701442194412,0.0,0.7872929855780558,0.21270701442194412,AML
GSE116256,AML556-D31,MIF,14,1.0142976507888957,0.2686396121498444,0.3379944247465174,0.08137067722823711,0.6620055752534826,0.18726893492160723,AML
GSE116256,AML707B-D0,CD99,8,0.4552895499256724,0.8374781667962282,0.8374781667962282,0.6749563335924567,0.0,0.0,AML
GSE116256,AML707B-D0,LGALS9,13,0.1628054870857998,1.0,0.2318590569314985,0.2318590569314985,0.7245031572018968,0.7245031572018968,AML
GSE116256,AML707B-D0,MIF,14,1.673493312743736,0.873828247330084,0.3590440783649143,0.3590440783649143,0.47725866028225244,0.3510869076123365,AML
GSE116256,AML707B-D113,CD99,3,0.0199904847071076,0.37320135969987933,0.37320135969987933,0.0,0.6267986403001207,0.37320135969987933,AML
GSE116256,AML707B-D113,MIF,17,0.8361044579672786,0.5686940131977459,0.29939172034718564,0.19072861310863973,0.7006082796528145,0.3779654000891062,AML
GSE116256,AML707B-D18,CD99,3,0.0433064607048444,0.7023740459319114,0.7023740459319114,0.4047480918638229,0.2976259540680885,0.2976259540680885,AML
