tier,hierarchy_bin,gene,logFC_discovery,q_discovery,sign_discovery
primary,Mono_DC,LINC00937,-3.41222358364196,5.5473395869278e-10,-1
primary,Mono_DC,WLS,-4.33010658930871,9.24960331576676e-10,-1
primary,Mono_DC,STEAP4,-4.81649027382599,9.4700478952156e-10,-1
primary,Mono_DC,RPH3A,-4.18997464872216,1.69493652617087e-09,-1
primary,Mono_DC,NRG1,-5.1066214988148,6.16716102008707e-09,-1
primary,Mono_DC,PLA2G7,-4.19887321810364,6.16716102008707e-09,-1
primary,Mono_DC,RBP7,-4.8964145936165,1.28935012973912e-08,-1
primary,Mono_DC,OLFM1,-4.29078147279458,3.20082186551893e-08,-1
primary,Mono_DC,ALDH1A1,-3.84357234448609,3.76872326538062e-08,-1
primary,Mono_DC,TIAM1,-3.84611564972606,4.12037597708359e-08,-1
primary,Mono_DC,RTN1,-3.82972001050727,5.758721453644e-08,-1
primary,Mono_DC,LYPD2,-5.59565051007589,5.99159691253102e-08,-1
primary,Mono_DC,PID1,-3.94960252155455,7.81076337029216e-07,-1
primary,Mono_DC,SEMA3C,-3.64131729909669,1.56847997000468e-06,-1
primary,Mono_DC,CMTM2,-2.96443055030384,2.18797318656954e-06,-1
primary,Mono_DC,ARPIN,-2.78106095513174,4.30607148164925e-06,-1
primary,Mono_DC,KLF12,-2.89080976778605,4.77558741507204e-06,-1
primary,Mono_DC,ST6GALNAC3,-2.60482947848885,4.77558741507204e-06,-1
primary,Mono_DC,HES1,-4.45709418093171,5.52193124125409e-06,-1
primary,Mono_DC,ARSG,-1.83472714775221,1.62076765524709e-05,-1
primary,Mono_DC,CLEC4D,-3.37109148103564,1.6814093932221e-05,-1
primary,Mono_DC,SCN9A,-3.43684119964447,1.92448229102398e-05,-1
primary,Mono_DC,ZNF710,-1.01123204775663,1.93264953510303e-05,-1
primary,Mono_DC,MPZL2,-2.16538710692572,2.00435431182584e-05,-1
primary,Mono_DC,EXT1,-1.80565403822883,2.061768785135e-05,-1
primary,Mono_DC,TNFRSF8,-2.56054526310696,2.33421779425857e-05,-1
primary,Mono_DC,PCSK5,-2.50931903234051,2.65173601877382e-05,-1
primary,Mono_DC,CLEC4E,-3.29761018634209,2.78739562378607e-05,-1
primary,Mono_DC,LIPN,-2.37310882236987,3.470131105744e-05,-1
primary,Mono_DC,GPR155,-1.8614443589167,3.55647616242231e-05,-1
primary,Mono_DC,TGFBI,-3.68393604134069,3.5740642645205e-05,-1
primary,Mono_DC,FOLR2,-1.97695494969317,3.70263976936419e-05,-1
primary,Mono_DC,CYP1B1-AS1,-2.06600945079852,5.94020527150439e-05,-1
primary,Mono_DC,EPB41L3,-2.97749562332607,6.49364680843535e-05,-1
primary,Mono_DC,HPSE,-2.33970004389044,6.49364680843535e-05,-1
primary,Mono_DC,HOXB-AS3,6.57041372872306,8.2902551511469e-05,1
primary,Mono_DC,GLT1D1,-2.50342937605258,8.30104756951788e-05,-1
primary,Mono_DC,OSM,-2.71985270865749,8.42390019454979e-05,-1
primary,Mono_DC,CPED1,-2.41662014757124,0.000120118939586102,-1
primary,Mono_DC,SHROOM1,-1.75996545872182,0.000123641909061593,-1
primary,Mono_DC,CLEC10A,-3.35311180778977,0.000124945410688882,-1
primary,Mono_DC,SLC18B1,-2.35614613662524,0.000124945410688882,-1
primary,Mono_DC,MTMR11,-1.8412408750884,0.000124945410688882,-1
primary,Mono_DC,FPR2,-2.68903232685152,0.000127277628871971,-1
primary,Mono_DC,ENHO,-3.63554439680633,0.000171687041915773,-1
primary,Mono_DC,VMO1,-3.04297449576971,0.000171687041915773,-1
primary,Mono_DC,TMEM8B,-1.58865528446394,0.000172510724821098,-1
primary,Mono_DC,SIN3B,-1.07882392097056,0.000195923248094941,-1
primary,Mono_DC,QPCT,-3.07524090418538,0.000197777994661585,-1
primary,Mono_DC,SLC16A6,-2.9934746482616,0.000197777994661585,-1
primary,Mono_DC,ASGR1,-2.22232517649601,0.000200467965115582,-1
primary,Mono_DC,MYCL,-2.18321695495844,0.000215915188920873,-1
primary,Mono_DC,SH3BP4,-2.57947479928654,0.000226435842295753,-1
primary,Mono_DC,SERINC5,-1.14097686690482,0.000226435842295753,-1
primary,Mono_DC,LIN7A,-3.25532593262026,0.000253944746541825,-1
primary,Mono_DC,AKTIP,-1.11376812823858,0.000292830524733619,-1
primary,Mono_DC,MB21D2,-2.53074245967278,0.000307405865249446,-1
primary,Mono_DC,TBC1D9,-1.78682475623928,0.000311904352497901,-1
primary,Mono_DC,DNASE1L3,-2.94722569763667,0.000323156476836714,-1
primary,Mono_DC,CEACAM3,-2.59440365092713,0.00033606166051023,-1
primary,Mono_DC,ECE1,-2.1977311298273,0.00033606166051023,-1
primary,Mono_DC,AC007952.4,-1.74866494864864,0.000355791189380936,-1
primary,Mono_DC,GPX3,-2.32936151937373,0.000364671525561811,-1
primary,Mono_DC,IL15,-2.59869320164557,0.000367932261346899,-1
