tier,hierarchy_bin,gene,logFC_discovery,q_discovery,sign_discovery
primary,Mono_DC,TCL1A,-2.83939601613753,0.000389898779088571,-1
primary,Mono_DC,SGMS1,-1.1168797532594,0.000389898779088571,-1
primary,Mono_DC,PTGS2,-2.4255617516499,0.000399795871820107,-1
primary,Mono_DC,SPRED1,-2.36122065662905,0.000460726356034286,-1
primary,Mono_DC,DUSP10,1.47742608646804,0.000469375117416284,1
primary,Mono_DC,WWC2,-2.55493013020616,0.00047827215825629,-1
primary,Mono_DC,BATF3,-2.51184659427968,0.00047827215825629,-1
primary,Mono_DC,CDKN1C,-2.31449425543726,0.000480531621253172,-1
primary,Mono_DC,FCER1A,-3.42044252398281,0.000483659110427922,-1
primary,Mono_DC,ALDH2,-2.40434683125381,0.000491432554275693,-1
primary,Mono_DC,IVNS1ABP,-1.4624532756852,0.000491432554275693,-1
primary,Mono_DC,SPATA13,-1.24220191466889,0.00049190404112993,-1
primary,Mono_DC,GOLGA6L4,2.58745135464956,0.000527759217035325,1
primary,Mono_DC,CPAMD8,-1.64936794558815,0.000527759217035325,-1
primary,Mono_DC,RNF149,-1.51848411011431,0.000677934770224231,-1
primary,Mono_DC,SLC46A2,-2.26291089376892,0.000702296973722468,-1
primary,Mono_DC,VIPR1,-1.82019734596188,0.000702296973722468,-1
primary,Mono_DC,TMTC1,-3.07432416276898,0.000730493946965266,-1
primary,Mono_DC,C3orf14,-3.00057964473435,0.000760348033499263,-1
primary,Mono_DC,CDH23,-1.42886246792084,0.000760348033499263,-1
primary,Mono_DC,ADAMTS6,2.86156146753602,0.000859910613075059,1
primary,Mono_DC,TTC7B,1.8216761599028,0.00088853111180978,1
primary,Mono_DC,ANG,-2.16336286200862,0.000908918587943085,-1
primary,Mono_DC,CLEC4A,-2.13871891011254,0.000908918587943085,-1
primary,Mono_DC,CLIC2,-2.20073150330154,0.000986023878698552,-1
primary,Mono_DC,APOBEC3H,3.43851299218076,0.000990883158696837,1
primary,Mono_DC,LILRA4,-2.79113027411546,0.000990883158696837,-1
primary,Mono_DC,CYP1B1,-2.76236462236859,0.000990883158696837,-1
primary,Mono_DC,SLC9A9,-1.61462411943533,0.00105445287307424,-1
primary,Mono_DC,TM6SF1,-1.55838390629266,0.00105493589174143,-1
primary,Mono_DC,CD276,3.2146468195298,0.00109685884030221,1
primary,Mono_DC,F5,-2.41908171274642,0.00114781352411822,-1
primary,Mono_DC,CYP4F3,-2.20199844870543,0.00116637794509026,-1
primary,Mono_DC,CDK6,1.91690597358823,0.00116637794509026,1
primary,Mono_DC,HOXB3,4.33752879478561,0.00117555295874141,1
primary,Mono_DC,EGLN3,-2.45241744954461,0.00125554572265648,-1
primary,Mono_DC,LYPD3,-2.26502882176206,0.00138067152425733,-1
primary,Mono_DC,ADAM19,-1.98587374758812,0.00138067152425733,-1
primary,Mono_DC,SMIM3,1.72609346545513,0.00138067152425733,1
primary,Mono_DC,PFKP,1.27370954028776,0.00138067152425733,1
primary,Mono_DC,AP1S2,-1.29420323980657,0.00151592364627556,-1
primary,Mono_DC,RNASE4,-2.15732669029699,0.00151659916200759,-1
primary,Mono_DC,LGMN,-2.16993896451047,0.00157914136521835,-1
primary,Mono_DC,UPK3A,-1.9160771060844,0.00171827084342999,-1
primary,Mono_DC,ALG14,-1.10104661874327,0.00171827084342999,-1
primary,Mono_DC,ARHGAP23,2.07423804634246,0.00178018213992432,1
primary,Mono_DC,TDRD9,-1.95199743698684,0.00178018213992432,-1
primary,Mono_DC,ZC2HC1A,-2.71608916994344,0.00192571238271505,-1
primary,Mono_DC,TBC1D4,-2.08474085337474,0.0020501365135523,-1
primary,Mono_DC,FEZ1,2.85244088132456,0.00206403879656585,1
primary,Mono_DC,HES4,-2.65539786280092,0.00209407404554954,-1
primary,Mono_DC,ARL4C,-2.41503748667564,0.00209407404554954,-1
primary,Mono_DC,ETV5,1.75679715982364,0.00214696518786601,1
primary,Mono_DC,PLXNC1,-1.63525330666996,0.0021707217624609,-1
primary,Mono_DC,ABI3,-1.88455172869465,0.00222347186209043,-1
primary,Mono_DC,SOWAHC,-2.0908047622068,0.00230713459835094,-1
primary,Mono_DC,CCDC170,-1.71098238167207,0.00234229193612045,-1
primary,Mono_DC,ZNF703,-2.00117270162908,0.00238634494070445,-1
primary,Mono_DC,LRRK2,-2.44860441289076,0.00238966786263342,-1
primary,Mono_DC,ID3,-2.34276964281531,0.00238966786263342,-1
primary,Mono_DC,MICALL2,1.63787922245488,0.00238966786263342,1
primary,Mono_DC,CMBL,1.71072995503718,0.00249401920797927,1
primary,Mono_DC,DEFB1,4.22001640116592,0.00250982606312268,1
primary,Mono_DC,UTF1,-1.56429406591652,0.00251648791943165,-1
primary,Mono_DC,VENTX,-1.73951028706588,0.00252706444082534,-1
primary,Mono_DC,CASP2,1.0908002599649,0.00252706444082534,1
primary,Mono_DC,FUT4,1.61759208212752,0.00261297343046489,1
primary,Mono_DC,PABPC1L,1.29512964832497,0.00269939120909526,1
primary,Mono_DC,CD1C,-3.15968497897663,0.00277157289072817,-1
primary,Mono_DC,NR4A2,-1.14356352102338,0.00282053599893604,-1
primary,Mono_DC,ZNF507,2.20926734521793,0.00309271726009865,1
primary,Mono_DC,CHN2,-1.33266349212411,0.00310436999309678,-1
primary,Mono_DC,PLEKHA1,-1.36986907562701,0.00326061948260486,-1
primary,Mono_DC,SCUBE1,4.22030078043631,0.00326146162134247,1
primary,Mono_DC,PTPN7,1.12290314655892,0.00328464925340312,1
primary,Mono_DC,GCA,-1.15466930987318,0.00333804983360718,-1
primary,Mono_DC,FYN,-1.28687627991104,0.00336555585033042,-1
primary,Mono_DC,VNN3,-1.8721806501507,0.00339736112760846,-1
primary,Mono_DC,ANKRD28,1.82214905176904,0.00339736112760846,1
primary,Mono_DC,SHTN1,-1.72732654950453,0.00345799275799131,-1
primary,Mono_DC,SLC45A3,2.89954733450966,0.00355801034122382,1
primary,Mono_DC,ARHGAP29,-2.321664001787,0.00355801034122382,-1
primary,Mono_DC,MIR222HG,1.67922116354927,0.00355801034122382,1
primary,Mono_DC,CCNA1,3.17092417593983,0.00361907813010343,1
primary,Mono_DC,STAR,2.94758871244687,0.00381885335654258,1
primary,Mono_DC,CLIC3,-2.32847772752436,0.00386725750496329,-1
primary,Mono_DC,NRARP,-2.19772116776363,0.00386725750496329,-1
primary,Mono_DC,HLA-F,-1.44257429623187,0.00386725750496329,-1
primary,Mono_DC,GCH1,-1.34187900870558,0.00386725750496329,-1
primary,Mono_DC,ZNF512B,1.08872719052092,0.00396813611079128,1
primary,Mono_DC,KAZALD1,-1.98391980052722,0.00426487728703319,-1
primary,Mono_DC,C19orf33,-2.03013706163512,0.00431003493093408,-1
primary,Mono_DC,ALOX15B,-2.31540932574868,0.00432003774859691,-1
primary,Mono_DC,GLRX,-1.17523308350338,0.00440329216426816,-1
primary,Mono_DC,FGD6,-1.64615641147129,0.00441429049752363,-1
primary,Mono_DC,NLRP12,-1.54180355277711,0.00441539460871571,-1
primary,Mono_DC,GOLM1,-1.61181547172019,0.00441635245944874,-1
primary,Mono_DC,TPCN1,-1.57530739684729,0.00459737536087272,-1
primary,Mono_DC,NUAK2,-1.38347925199382,0.00471349631079454,-1
primary,Mono_DC,CACNA1A,1.22770722481371,0.00471349631079454,1
primary,Mono_DC,HSPG2,1.71614275408792,0.00477669990162919,1
primary,Mono_DC,TTYH2,-1.05817292050372,0.00478985557159645,-1
primary,Mono_DC,ADGRD1,-1.64115847404939,0.00487029016049249,-1
primary,Mono_DC,CYP2S1,-1.92029385006531,0.00493907387816996,-1
primary,Mono_DC,RGS2,-1.50531421948734,0.0051544203791786,-1
primary,Mono_DC,FCAR,-1.98085252815834,0.0052540851246859,-1
primary,Mono_DC,IGF2BP2,1.08918932180629,0.0052540851246859,1
primary,Mono_DC,ACVR2A,-2.18815085753246,0.00530498585953254,-1
primary,Mono_DC,CALCRL,-2.08556811953131,0.00535821124543486,-1
primary,Mono_DC,RYR1,-1.61928633886954,0.00535821124543486,-1
primary,Mono_DC,CD48,-2.09786206705561,0.00544690568925849,-1
primary,Mono_DC,GSAP,-1.07858350837453,0.00551791521265527,-1
primary,Mono_DC,SLC22A18AS,-1.43828228033733,0.00552724782814833,-1
primary,Mono_DC,MEFV,-1.70626227825893,0.00572569116772406,-1
primary,Mono_DC,TRIM7,-1.76693106133108,0.00574812119630478,-1
primary,Mono_DC,MAPK12,2.61804393603636,0.00576840403436735,1
primary,Mono_DC,BSPRY,1.58103914914147,0.00576840403436735,1
primary,Mono_DC,PXYLP1,-1.12833086424591,0.00577109323719987,-1
primary,Mono_DC,RAB39A,-1.21395632033083,0.00594242622056926,-1
primary,Mono_DC,ZNF419,1.11966492966471,0.00594242622056926,1
primary,Mono_DC,PAN3-AS1,1.48369238828501,0.00596287410881178,1
primary,Mono_DC,KDM5B,1.18627107692868,0.00605643234906148,1
primary,Mono_DC,JADE3,1.37041095437022,0.00621222246931802,1
primary,Mono_DC,MYO1E,-1.56405416886894,0.0062283929854898,-1
primary,Mono_DC,TMOD1,2.2403646527431,0.00648961296061387,1
primary,Mono_DC,FMN1,-1.81695273978495,0.0065151597008901,-1
primary,Mono_DC,HOXB6,4.30565214635351,0.00673441824152055,1
primary,Mono_DC,MEG3,-2.63079409493327,0.00673441824152055,-1
primary,Mono_DC,JAML,-2.22567036957277,0.00673441824152055,-1
primary,Mono_DC,ZNF205,-2.21675888047783,0.00673441824152055,-1
primary,Mono_DC,PADI4,-2.10722657884931,0.00673441824152055,-1
primary,Mono_DC,PDZD7,1.79762826842328,0.00673441824152055,1
primary,Mono_DC,PALM2-AKAP2,1.66913120338593,0.00673441824152055,1
primary,Mono_DC,SYNE1,-1.10737012209053,0.00673441824152055,-1
primary,Mono_DC,SULF2,-1.64027651240362,0.00686063974389024,-1
primary,Mono_DC,CASP1,-1.19026454309582,0.00695747867336172,-1
primary,Mono_DC,ARTN,2.5810841973165,0.00697831606612307,1
primary,Mono_DC,PLBD1-AS1,-1.7910919695873,0.00698567046083976,-1
primary,Mono_DC,IGF1R,-1.76482431586699,0.00702261304762414,-1
primary,Mono_DC,FZD3,-1.76350228491421,0.00702261304762414,-1
primary,Mono_DC,ANKRD13B,1.7119788032297,0.00724091828222368,1
primary,Mono_DC,NKG7,1.32825068092329,0.00724091828222368,1
primary,Mono_DC,PLXNA2,-1.22987321008884,0.00724091828222368,-1
primary,Mono_DC,HAGHL,1.28152089184527,0.00739122747607336,1
primary,Mono_DC,RFX8,3.04434818636655,0.00746816394001575,1
primary,Mono_DC,MSRB3,2.59774421056278,0.00758808062470153,1
primary,Mono_DC,SLC35F3,-2.32804539766691,0.00758808062470153,-1
primary,Mono_DC,DST,-1.88814665114889,0.00776141679399342,-1
primary,Mono_DC,RETN,-2.74780216831019,0.00828958359505887,-1
primary,Mono_DC,ITGA7,2.6432675063854,0.00830075414199341,1
primary,Mono_DC,SLC2A5,2.10918121639994,0.00848862928564593,1
primary,Mono_DC,ZFHX3,-1.34013116319779,0.00856711631481093,-1
primary,Mono_DC,PIWIL4,1.94837519776075,0.00865960101208247,1
primary,Mono_DC,CDKN2A,2.22126265330042,0.00872588557823217,1
primary,Mono_DC,HDX,-2.17310997335371,0.0087859839608496,-1
primary,Mono_DC,CPVL,-2.13623141268549,0.0087859839608496,-1
primary,Mono_DC,HOXA9,4.0204941382848,0.00888784442261677,1
primary,Mono_DC,FPR1,-2.50232236330887,0.00909463492294005,-1
primary,Mono_DC,C19orf38,-1.19266454089922,0.0092006023018014,-1
primary,Mono_DC,MEIS1,4.1997566891562,0.0092375533843869,1
primary,Mono_DC,OLR1,-2.29786279236231,0.0092375533843869,-1
primary,Mono_DC,LILRA1,-1.23606422166953,0.00934889295602581,-1
primary,Mono_DC,ENTPD1,-1.12892347693323,0.00934889295602581,-1
primary,Mono_DC,SOX12,1.46609282919818,0.00944006000304811,1
primary,Mono_DC,SLC24A4,-1.77408606986825,0.00949202332547519,-1
primary,Mono_DC,ATP8B4,1.65378203580738,0.00949202332547519,1
primary,Mono_DC,MAP3K13,-1.36629466296083,0.00984621274208264,-1
primary,Mono_DC,GFI1,2.55750255585562,0.00985413997577577,1
primary,Mono_DC,ACP5,-1.48995821751715,0.00991535840670268,-1
primary,Mono_DC,BMI1,1.28904319337062,0.00991535840670268,1
primary,Mono_DC,HOXB4,3.27747609272114,0.00999122640406619,1
primary,Mono_DC,CCDC149,-1.39124763776707,0.0100567570259956,-1
primary,Mono_DC,TBC1D12,-1.89174508896396,0.0100629836691497,-1
primary,Mono_DC,FLT3,1.67417847114227,0.0100629836691497,1
primary,Mono_DC,NHS,-1.5457210635615,0.0100629836691497,-1
primary,Mono_DC,SIPA1L1,-1.24512531037045,0.0100629836691497,-1
primary,Mono_DC,NRG4,2.34243196038933,0.0103067845721696,1
primary,Mono_DC,MAP1LC3A,1.77879675391872,0.010348773354563,1
primary,Mono_DC,HNMT,-1.97392481080421,0.0105451603483065,-1
primary,Mono_DC,NR4A1,-1.63739472434671,0.0105451603483065,-1
primary,Mono_DC,DUSP2,-1.81012898029288,0.0106884362931777,-1
primary,Mono_DC,ZMYND15,-1.68529569859498,0.0106884362931777,-1
primary,Mono_DC,CNFN,-1.12345749488907,0.0109150979527987,-1
primary,Mono_DC,DGAT2,-1.31204061584413,0.0110945680537135,-1
primary,Mono_DC,PNOC,-1.394546303388,0.0114515262850253,-1
primary,Mono_DC,NEURL1,-1.69143613737354,0.0116162113881015,-1
primary,Mono_DC,TSHZ3,-1.8198996671181,0.0117278828526432,-1
primary,Mono_DC,DLGAP3,-1.24617324317127,0.0119357543441394,-1
primary,Mono_DC,MYBPC3,-1.19448327162453,0.012542841301151,-1
primary,Mono_DC,ICOSLG,-1.50617684424956,0.0125648203270512,-1
primary,Mono_DC,FZD1,-1.43245532046556,0.0125729720397042,-1
primary,Mono_DC,FCGR3A,-2.75024193822438,0.0127971069854954,-1
primary,Mono_DC,RAB3A,-1.24291488651478,0.0127971069854954,-1
primary,Mono_DC,CCL23,3.7754799556593,0.0128084854785977,1
primary,Mono_DC,SLC43A2,-1.37105918460039,0.0128400380082919,-1
primary,Mono_DC,CREB5,-1.48918070852743,0.0129292062777998,-1
primary,Mono_DC,NFIA,-1.74051137109732,0.0129882562120623,-1
primary,Mono_DC,HIST1H3I,1.54998398090407,0.0129969183366572,1
primary,Mono_DC,METTL7B,2.92799901874139,0.0130253935712516,1
primary,Mono_DC,ANKRD37,-1.06672587683393,0.0131302142242959,-1
primary,Mono_DC,SLC11A1,-1.84372337129987,0.0132321665026858,-1
primary,Mono_DC,MAST4,1.46406771387579,0.0133846075124569,1
primary,Mono_DC,SNAI1,-1.82373222518739,0.0134525765848813,-1
primary,Mono_DC,SPATA6,-1.79246751946595,0.0134525765848813,-1
primary,Mono_DC,CPXM1,1.60107652071598,0.0134525765848813,1
primary,Mono_DC,BTN3A3,-1.22818009603322,0.0134772476505356,-1
primary,Mono_DC,NFIX,1.12117122899342,0.0136566016700133,1
primary,Mono_DC,ADAMTS2,3.22150844688791,0.0138869520772662,1
primary,Mono_DC,ARHGAP11A,1.22012062126477,0.0140117284547914,1
primary,Mono_DC,SNTB2,-1.11867303005813,0.0140117284547914,-1
primary,Mono_DC,GBP1,-2.15088574230964,0.0142236801476217,-1
primary,Mono_DC,GPAT3,-1.67315373724136,0.0142236801476217,-1
primary,Mono_DC,IQGAP3,1.91381161081977,0.0146578158560258,1
primary,Mono_DC,LILRA5,-2.18841413202533,0.0151029792125835,-1
primary,Mono_DC,TESC,-1.25526152554312,0.0151029792125835,-1
primary,Mono_DC,ADGRE3,-1.82047494140488,0.0152228832961634,-1
primary,Mono_DC,GLIPR2,-1.10478422065355,0.0153423770085098,-1
primary,Mono_DC,PLBD1,-2.38933493471606,0.015423364959606,-1
primary,Mono_DC,CCL5,2.16523326172996,0.0154572231687764,1
primary,Mono_DC,SYNGAP1,1.17323538254604,0.0155945751467454,1
primary,Mono_DC,PLTP,1.47547107314744,0.0157351901093172,1
primary,Mono_DC,MSRB1,-1.17071789434671,0.0157441127972045,-1
primary,Mono_DC,ZSWIM1,1.07742368990784,0.0157441127972045,1
primary,Mono_DC,SCT,-2.72720021346502,0.016147908119476,-1
primary,Mono_DC,GIMAP4,-2.47402289281338,0.0162509014727757,-1
primary,Mono_DC,APOBEC3A,-2.29748749499281,0.0162509014727757,-1
primary,Mono_DC,SIAE,1.14520905516179,0.0162591750896747,1
primary,Mono_DC,G0S2,-2.96923552658851,0.0162848920716267,-1
primary,Mono_DC,FCGRT,-1.16697913911847,0.0162861530110792,-1
primary,Mono_DC,CKAP4,-1.50957392015686,0.0168041799683822,-1
primary,Mono_DC,HMGN3-AS1,1.23164371243294,0.0168041799683822,1
primary,Mono_DC,B4GALT2,1.19259425750712,0.0168041799683822,1
primary,Mono_DC,COTL1,-1.09822216326214,0.0168041799683822,-1
primary,Mono_DC,APP,-2.33931156488804,0.0172614049454918,-1
primary,Mono_DC,LINC00926,1.92669143094793,0.0172614049454918,1
primary,Mono_DC,BRCA2,1.0720726739434,0.0172614049454918,1
primary,Mono_DC,HLA-DQA1,-1.84358694791981,0.0173924395376679,-1
primary,Mono_DC,LINC00342,1.25524374457708,0.0174891981364217,1
primary,Mono_DC,GIMAP2,-1.16162202065298,0.0174986290177221,-1
primary,Mono_DC,PPFIBP1,1.79682358883395,0.0180179275549006,1
primary,Mono_DC,PKP2,-1.77985875988527,0.0180179275549006,-1
primary,Mono_DC,FBN2,-1.27736119174803,0.0180179275549006,-1
primary,Mono_DC,CHD7,1.51492605020858,0.01804144078301,1
primary,Mono_DC,CARD16,-1.18085740450409,0.0182772665713137,-1
primary,Mono_DC,PARP15,1.0652835435333,0.0182885696184748,1
primary,Mono_DC,ACVRL1,-1.37763689594946,0.0183967564719523,-1
primary,Mono_DC,P2RY14,-2.13569146541439,0.0185873090940168,-1
primary,Mono_DC,PADI2,-1.4002092950489,0.0187294079062066,-1
primary,Mono_DC,PLEKHH3,1.28854552961984,0.0191294161008569,1
primary,Mono_DC,NR4A3,-1.84838274948633,0.0192245813046056,-1
primary,Mono_DC,RAB20,-1.5498663864359,0.0192245813046056,-1
primary,Mono_DC,DUSP1,-1.34328829825246,0.0192245813046056,-1
primary,Mono_DC,SMPD3,-1.90608551576076,0.0192292924026669,-1
primary,Mono_DC,SLC9A3R2,1.77589273653785,0.0195791102368374,1
primary,Mono_DC,HOXB5,4.35361255063999,0.0197922895484103,1
primary,Mono_DC,PVT1,1.0402636852997,0.0197922895484103,1
primary,Mono_DC,DSE,-1.75138798288624,0.0204533102433715,-1
primary,Mono_DC,CD70,3.52508569303551,0.0204988118809121,1
primary,Mono_DC,DYSF,-1.64389997909173,0.020924824367685,-1
primary,Mono_DC,MYB,1.84773705586902,0.021229379795225,1
primary,Mono_DC,HIST1H2BO,2.02268059750828,0.0213300185809967,1
primary,Mono_DC,OPTN,1.35111140689855,0.0216195756822804,1
primary,Mono_DC,STMN3,1.04770156276411,0.0216255049410812,1
primary,Mono_DC,JUNB,-1.11120054902481,0.0218600960649613,-1
primary,Mono_DC,NMUR1,2.90709516990881,0.0219747586950275,1
primary,Mono_DC,ECM1,2.18985713473421,0.022022805382297,1
primary,Mono_DC,VAT1,1.09029193321433,0.0226945475475955,1
primary,Mono_DC,IGSF6,-1.54797780539792,0.0230063455254814,-1
primary,Mono_DC,SH3BP5,-1.37860869323944,0.0231865068438709,-1
primary,Mono_DC,REEP5,-1.07897386319943,0.0233004076984048,-1
primary,Mono_DC,PHACTR3,3.5150607777526,0.0237435372499722,1
primary,Mono_DC,AMN,1.48670186867947,0.0237861270473947,1
primary,Mono_DC,CD52,-1.93817739616001,0.0238742673067892,-1
primary,Mono_DC,RTN2,1.24460919116323,0.0238742673067892,1
primary,Mono_DC,NRXN2,2.6161048525983,0.0243309737777455,1
primary,Mono_DC,DLEU7,-1.50990180906733,0.0243309737777455,-1
primary,Mono_DC,AIG1,-1.01729670756909,0.0243309737777455,-1
primary,Mono_DC,KIF13A,-1.03730136986453,0.0249382015053986,-1
primary,Mono_DC,SMYD3,1.56304747851027,0.0249946508156589,1
primary,Mono_DC,HOXA7,3.69229496996675,0.025270413401478,1
primary,Mono_DC,HOXB7,2.98408263332454,0.025270413401478,1
primary,Mono_DC,PHLDA3,2.1562202218209,0.0259023324931841,1
primary,Mono_DC,SBF2-AS1,1.01816951271634,0.0263676695671614,1
primary,Mono_DC,KIF26B,3.06216378237004,0.026528510633848,1
primary,Mono_DC,SLC27A2,1.71977755478071,0.0271726242592905,1
primary,Mono_DC,LINC01569,1.18148653310473,0.0271734515381335,1
primary,Mono_DC,HIST1H1C,1.25467019294198,0.0287845858136507,1
primary,Mono_DC,ZNF331,-1.28145795191556,0.0289230233734094,-1
primary,Mono_DC,DLG5,1.52322482843951,0.0292970197405524,1
primary,Mono_DC,GDF11,1.24505328072244,0.0294602761232545,1
primary,Mono_DC,MBNL1-AS1,1.40128824452656,0.0296521256926937,1
primary,Mono_DC,HOXA10,3.4039170825186,0.0297532633039115,1
primary,Mono_DC,ST8SIA6,3.12659334093231,0.0297532633039115,1
primary,Mono_DC,CFAP70,1.38978138180906,0.0302145230042251,1
primary,Mono_DC,LMNA,1.80029568663542,0.0303224227651656,1
primary,Mono_DC,CRNDE,1.67743654744893,0.0305393153200395,1
primary,Mono_DC,PCAT18,4.48715131115504,0.0312640619566727,1
primary,Mono_DC,CTSS,-1.34273590194045,0.0314529876011339,-1
primary,Mono_DC,TYROBP,-1.1118086788435,0.0314529876011339,-1
primary,Mono_DC,CRTAM,-1.15911410559026,0.0315720451410366,-1
primary,Mono_DC,PLAUR,-1.35694645893991,0.0319428063350753,-1
primary,Mono_DC,DNAH14,1.28056116420517,0.0319428063350753,1
primary,Mono_DC,IGHG1,-1.31669226688429,0.032957908376487,-1
primary,Mono_DC,RASGRP3,1.81825061253908,0.0332061621258426,1
primary,Mono_DC,HOMER3,1.01221067781166,0.0333622844265301,1
primary,Mono_DC,CLDND2,1.13606536487642,0.033407356883066,1
primary,Mono_DC,TNFSF14,-1.50694191623668,0.0335038252427915,-1
primary,Mono_DC,HOXA3,4.61672991789683,0.0336236677254696,1
primary,Mono_DC,HOXA10-AS,4.09701294715932,0.0336266462568527,1
primary,Mono_DC,VEGFA,-1.45533838610967,0.034007445432228,-1
primary,Mono_DC,NPIPB15,-1.30305224503319,0.0340139287647583,-1
primary,Mono_DC,TMEM44,1.69117710554321,0.0355534020251647,1
primary,Mono_DC,ACTA2,1.34440220683459,0.0355534020251647,1
primary,Mono_DC,DNLZ,-1.18948506832745,0.0357492634211137,-1
primary,Mono_DC,CTSH,-1.12611091066169,0.0362364270232418,-1
primary,Mono_DC,LAMA5,2.44945806449172,0.0374806273220836,1
primary,Mono_DC,HIST1H2AC,1.24422071680374,0.0379226414863099,1
