gene	Adipo_MSC	AML_blast	B	DC	Endothelial	Erythroid_MEP	HSC_MPP	LMPP_GMP	Macrophage	Megakaryocyte	Monocyte	MSC_fibroblast	Osteolineage	Pericyte	Plasma	T_NK
A1BG	0.053769611366077	0.501565627182243	0.538985759544386	0.730565077089212	0.069001212030834	0.328572667770132	0.453262789841752	0.446112307765336	0.318061369122285	0.375960572585435	0.462423314231716	0.124708051419957	0.0880824903090475	0.450044184018349	0.80997616715076	0.433411632930185
A1BG-AS1	0.0185766132725612	0.0369061227679462	0.0545463359551943	0.054761244034624	0.00515363390255711	0.023208951382715	0.0377233490714538	0.0327908312752689	0.0182996457089974	0.0405401525543302	0.032023734773946	0.0358236232317574	0.0134085801104838	0.0798280745973511	0.0324371818397908	0.0398674222193924
A1CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0.28745842229931	0.00596869069095288	0	0.000663165472424986	11.1392246264473	0	0	0	0.0295393874648125	0	0	0.529176274670793	2.1215913514133	4.96083306458708	0	0.0255371028653312
A2M-AS1	0.0279479065023758	0.0344991781687755	0	0.0268963273753784	0.0139371512811958	0.01709177568896	0.0349431059303956	0.0269126124040246	0	0.0222669555595094	0.00749195101251079	0.0348747138237993	0.0298456518392376	0.0109177725297886	0	0.143575897355265
A2ML1	0.00390372205444166	0	0	0	0.00099774495330433	0	0	0	0	0	0	0.00301804815783067	0.0115209668090681	0	0	0
A2ML1-AS1	0.127300430625912	0	0	0	0.0782146146306449	0	0	0	0	0	0	0.0658875466888974	0.0813306345402699	0.0658004069172498	0	0
A2ML1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0.0015867622013112	0	0	0	0	0	0	0	0	0	0	0.00371903085993272	0.0057400719433291	0	0	0
A4GALT	0.409050729753331	0.00358719307958601	0	0.000274617860009483	0.474994285694066	0	0	0.000466074017334212	0	0.00254492539333537	0.00262670338052246	0.464409062635906	0.364285030122211	0.477140370006094	0	0
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	0.147579706715479	0.129469396732328	0.087209458567494	0.14881393811869	0.0859808621352809	0.169441425567265	0.157305753632061	0.156877954832229	0.185820956879036	0.227690598120326	0.100104207420474	0.175175366054245	0.129672819383156	0.0952347315398679	0.0704787693772503	0.110368514904815
AACS	0.136848204016498	0.0781552375869362	0.0479632746744831	0.087795870821115	0.0769478664072476	0.0679685411244925	0.0731903370514478	0.0689626080644904	0.0484384608559127	0.0780408234250658	0.0487270571899199	0.126805526215042	0.128383834663063	0.175362144160166	0.0715780345556818	0.0760250576983386
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0.0468177166134994	0	0	0	0	0	0	0.0064197165610451	0.00209503003799313	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0.0928286688585826	0	0	0	0	0.000972549700827899	0.0198863193421013	0.00597634733610876	0	0.0208488398565237	0	0.116125240582268	0.102620351447548	0.0261664132650126	0	0
AAGAB	0.211170397355898	0.225897708226366	0.17675855291081	0.174286636116316	0.19575588914022	0.193890990624597	0.167883582103793	0.181882502133256	0.282613655067427	0.211239713448897	0.17807655373562	0.162471584408458	0.180947387303518	0.104611678159307	0.060746560012013	0.188618635559941
