subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s42,23,23,0,0,FALSE,0,6,1,5,10p:g;13q:g;18p:g;18q:g;19q:l;6q:g,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s52,22,22,0,0,FALSE,0,9,3,6,10p:g;13q:g;18p:g;18q:g;19q:l;20p:l;22q:l;3q:g;6q:g,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s27,21,21,0,0,FALSE,0,5,1,4,13q:g;18p:g;18q:g;20p:l;21q:g,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s51,19,19,0,0,FALSE,0,5,0,5,10p:g;18p:g;18q:g;20q:g;3q:g,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s55,13,13,0,0,FALSE,0,5,0,5,10p:g;18p:g;18q:g;21q:g;3q:g,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s33,4,4,0,0,FALSE,0,3,0,3,10p:g;3q:g;4p:g,4,gain,FALSE,0,GSE227903,5750_Dg
observation.observation_s11,3,3,0,0,FALSE,0,4,2,2,10p:g;16p:l;18q:g;19q:l,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s13,2,2,1,0.5,FALSE,0.00793650793650794,11,3,8,10p:g;13q:g;17p:g;18p:g;18q:g;19q:l;21q:g;2p:g;6p:l;7p:l;9p:g,4,gain,FALSE,0,GSE227903,5750_Dg
observation.observation_s56,2,2,0,0,FALSE,0,5,1,4,10p:g;18p:g;18q:g;21q:g;6p:l,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s57,2,2,0,0,FALSE,0,3,1,2,17p:g;1q:g;20p:l,4,gain,FALSE,0,GSE227903,5750_Dg
observation.observation_s58,2,2,1,0.5,FALSE,0.00793650793650794,9,2,7,10p:g;10q:g;13q:g;18p:g;18q:g;20p:l;20q:g;22q:l;6q:g,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s59,2,2,0,0,FALSE,0,6,1,5,12p:l;18p:g;18q:g;20q:g;21q:g;5p:g,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s7,1,1,0,0,FALSE,0,9,3,6,10p:g;18p:g;18q:g;20p:l;3q:g;4p:g;4q:l;5p:g;6p:l,2,loss,TRUE,0.432835820895522,GSE227903,5750_Dg
observation.observation_s54,1,1,0,0,FALSE,0,7,2,5,10p:g;10q:g;16p:l;20q:g;21q:g;5q:l;6q:g,2,loss,TRUE,0.291044776119403,GSE227903,5750_Dg
observation.observation_s60,1,1,0,0,FALSE,0,11,4,7,10p:g;17p:g;18p:l;20q:g;21q:g;22q:l;5p:g;6p:l;6q:g;7p:l;7q:g,4,gain,FALSE,0,GSE227903,5750_Dg
observation.observation_s61,1,1,0,0,FALSE,0,8,3,5,10p:g;13q:g;17p:l;18p:g;20p:l;3q:g;6p:l;6q:g,2,loss,TRUE,0.91044776119403,GSE227903,5750_Dg
observation.observation_s62,1,1,1,1,FALSE,0.00793650793650794,15,5,10,10p:g;10q:g;13q:g;18p:g;18q:g;19q:l;20q:g;21q:g;22q:l;2q:l;3q:g;6q:g;7p:l;8q:l;9p:g,3,neutral,FALSE,0.111940298507463,GSE227903,5750_Dg
reference_external.reference_external_s13,230,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s31,226,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s2,217,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s37,137,0,0,,FALSE,0,1,0,1,8p:g,3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s7,136,0,0,,FALSE,0,3,0,3,10p:g;21q:g;8p:g,3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s38,132,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s44,125,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s34,124,0,0,,FALSE,0,6,2,4,10p:g;13q:g;18p:g;19p:l;19q:l;7p:g,3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s45,119,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s48,117,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s30,108,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s40,106,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s18,105,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s32,104,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s12,103,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s33,103,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s22,101,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s4,98,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s5,84,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s19,78,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s1,71,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s23,71,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s41,67,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s10,62,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s6,58,0,0,,FALSE,0,1,0,1,6p:g,3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s29,58,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s46,56,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s21,49,0,0,,FALSE,0,1,0,1,16q:g,4,gain,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s14,47,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s24,44,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s16,43,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s3,39,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s8,38,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s15,38,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s28,38,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_Dg
reference_external.reference_external_s43,34,0,0,,FALSE,0,5,1,4,11q:g;16q:g;17p:g;1q:g;9p:l,4,gain,FALSE,0,GSE227903,5750_Dg
