row,dataset,sample,half,n_cells,subset_file
1,GSE116256,AML328-D0,A,241,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE116256__AML328-D0__A.csv
2,GSE116256,AML328-D0,B,236,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE116256__AML328-D0__B.csv
3,GSE116256,AML328-D29,A,470,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE116256__AML328-D29__A.csv
4,GSE116256,AML328-D29,B,467,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE116256__AML328-D29__B.csv
5,GSE116256,AML329-D0,A,169,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE116256__AML329-D0__A.csv
6,GSE116256,AML329-D0,B,163,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE116256__AML329-D0__B.csv
7,GSE116256,AML329-D20,A,261,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE116256__AML329-D20__A.csv
8,GSE116256,AML329-D20,B,258,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE116256__AML329-D20__B.csv
9,GSE116256,AML556-D0,A,730,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE116256__AML556-D0__A.csv
10,GSE116256,AML556-D0,B,727,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE116256__AML556-D0__B.csv
11,GSE116256,AML556-D31,A,484,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE116256__AML556-D31__A.csv
12,GSE116256,AML556-D31,B,480,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE116256__AML556-D31__B.csv
13,GSE116256,AML707B-D0,A,532,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE116256__AML707B-D0__A.csv
14,GSE116256,AML707B-D0,B,529,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE116256__AML707B-D0__B.csv
15,GSE116256,AML707B-D113,A,247,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE116256__AML707B-D113__A.csv
16,GSE116256,AML707B-D113,B,246,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE116256__AML707B-D113__B.csv
17,GSE201966,GSM6085177_AML01M4_P,A,899,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE201966__GSM6085177_AML01M4_P__A.csv
18,GSE201966,GSM6085177_AML01M4_P,B,894,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE201966__GSM6085177_AML01M4_P__B.csv
19,GSE201966,GSM6085178_AML01M4_RE,A,2741,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE201966__GSM6085178_AML01M4_RE__A.csv
20,GSE201966,GSM6085178_AML01M4_RE,B,2737,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE201966__GSM6085178_AML01M4_RE__B.csv
21,GSE201966,GSM6085181_AML03M5_P,A,3321,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE201966__GSM6085181_AML03M5_P__A.csv
22,GSE201966,GSM6085181_AML03M5_P,B,3319,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE201966__GSM6085181_AML03M5_P__B.csv
23,GSE201966,GSM6085182_AML03M5_RE,A,1098,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE201966__GSM6085182_AML03M5_RE__A.csv
24,GSE201966,GSM6085182_AML03M5_RE,B,1096,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE201966__GSM6085182_AML03M5_RE__B.csv
25,GSE227903,1216_Dg,A,938,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__1216_Dg__A.csv
26,GSE227903,1216_Dg,B,936,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__1216_Dg__B.csv
27,GSE227903,1216_MRD,A,843,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__1216_MRD__A.csv
28,GSE227903,1216_MRD,B,839,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__1216_MRD__B.csv
29,GSE227903,1216_R,A,2276,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__1216_R__A.csv
30,GSE227903,1216_R,B,2274,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__1216_R__B.csv
31,GSE227903,1886_Dg,A,1173,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__1886_Dg__A.csv
32,GSE227903,1886_Dg,B,1169,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__1886_Dg__B.csv
33,GSE227903,1886_MRD,A,1341,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__1886_MRD__A.csv
34,GSE227903,1886_MRD,B,1340,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__1886_MRD__B.csv
35,GSE227903,1886_R,A,477,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__1886_R__A.csv
36,GSE227903,1886_R,B,473,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__1886_R__B.csv
37,GSE227903,3853_Dg,A,573,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__3853_Dg__A.csv
38,GSE227903,3853_Dg,B,570,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__3853_Dg__B.csv
