dataset,sample,hierarchy_bin,timepoint,healthy,frac_malignant,mean_stemness,n_cells,frac_malignant_vg,mean_cnv_burden,mean_stemness_normal,mean_stemness_malignant,mean_cytotrace_normal,mean_cytotrace_malignant,st_HSPC_core,st_vanGalen_HSC_like,st_vanGalen_HSC_Prog,st_vanGalen_HSCprog_like,st_HSPC_core_normal,st_vanGalen_HSC_like_normal,st_vanGalen_HSC_Prog_normal,st_vanGalen_HSCprog_like_normal,st_HSPC_core_malignant,st_vanGalen_HSC_like_malignant,st_vanGalen_HSC_Prog_malignant,st_vanGalen_HSCprog_like_malignant,pg_Androgen,pg_EGFR,pg_Estrogen,pg_Hypoxia,pg_JAK_STAT,pg_MAPK,pg_NFkB,pg_p53,pg_PI3K,pg_TGFb,pg_TNFa,pg_Trail,pg_VEGF,pg_WNT,pg_Androgen_normal,pg_EGFR_normal,pg_Estrogen_normal,pg_Hypoxia_normal,pg_JAK_STAT_normal,pg_MAPK_normal,pg_NFkB_normal,pg_p53_normal,pg_PI3K_normal,pg_TGFb_normal,pg_TNFa_normal,pg_Trail_normal,pg_VEGF_normal,pg_WNT_normal,pg_Androgen_malignant,pg_EGFR_malignant,pg_Estrogen_malignant,pg_Hypoxia_malignant,pg_JAK_STAT_malignant,pg_MAPK_malignant,pg_NFkB_malignant,pg_p53_malignant,pg_PI3K_malignant,pg_TGFb_malignant,pg_TNFa_malignant,pg_Trail_malignant,pg_VEGF_malignant,pg_WNT_malignant,cs_antiapoptotic,cs_apoptotic_priming,cs_cytotoxicity,cs_exhaustion,cs_interferon_I,cs_interferon_II,cs_mhc_i,cs_mhc_ii,cs_naive_memory,cs_retention_ligand,cs_retention_receptor,cs_sasp,cs_senescence,cs_antiapoptotic_normal,cs_apoptotic_priming_normal,cs_cytotoxicity_normal,cs_exhaustion_normal,cs_interferon_I_normal,cs_interferon_II_normal,cs_mhc_i_normal,cs_mhc_ii_normal,cs_naive_memory_normal,cs_retention_ligand_normal,cs_retention_receptor_normal,cs_sasp_normal,cs_senescence_normal,cs_antiapoptotic_malignant,cs_apoptotic_priming_malignant,cs_cytotoxicity_malignant,cs_exhaustion_malignant,cs_interferon_I_malignant,cs_interferon_II_malignant,cs_mhc_i_malignant,cs_mhc_ii_malignant,cs_naive_memory_malignant,cs_retention_ligand_malignant,cs_retention_receptor_malignant,cs_sasp_malignant,cs_senescence_malignant,mt_glycolysis,mt_oxphos,mt_fatty_acid_oxidation,mt_expr_BCL2,mt_expr_MCL1,mt_expr_BCL2L1,mt_glycolysis_normal,mt_oxphos_normal,mt_fatty_acid_oxidation_normal,mt_expr_BCL2_normal,mt_expr_MCL1_normal,mt_expr_BCL2L1_normal,mt_glycolysis_malignant,mt_oxphos_malignant,mt_fatty_acid_oxidation_malignant,mt_expr_BCL2_malignant,mt_expr_MCL1_malignant,mt_expr_BCL2L1_malignant,pt_predicted_Pseudotime,pt_predicted_Pseudotime_normal,pt_predicted_Pseudotime_malignant,n_cells_raw,present,mass,sparse_flag
Chen2023,AML103,HSC_MPP,Diagnosis,FALSE,0.714285714285714,1,0,-0.714285714285714,0.714285714285714,1,1,1,-0.142857142857143,1,1,1,1,1,1,1,1,0.714285714285714,1,1,1,0.714285714285714,-0.714285714285714,0.428571428571429,0.142857142857143,0.428571428571429,-0.142857142857143,0.142857142857143,0.428571428571429,-0.714285714285714,0.428571428571429,-0.428571428571429,1,0.714285714285714,-0.142857142857143,-0.142857142857143,-0.714285714285714,-0.142857142857143,0.428571428571429,0.428571428571429,-0.142857142857143,-0.142857142857143,0.142857142857143,-0.714285714285714,-0.428571428571429,-0.428571428571429,1,0.714285714285714,-0.142857142857143,1,-0.714285714285714,1,-0.428571428571429,0.714285714285714,1,1,1,1,1,-0.714285714285714,1,1,0.142857142857143,0.428571428571429,-0.714285714285714,-0.428571428571429,-0.428571428571429,0.714285714285714,0.714285714285714,-0.142857142857143,1,0.714285714285714,0.428571428571429,-0.428571428571429,0.428571428571429,-0.714285714285714,-0.142857142857143,-0.714285714285714,-0.142857142857143,-0.428571428571429,-0.142857142857143,0.714285714285714,0.142857142857143,1,0.714285714285714,0.142857142857143,-0.142857142857143,0.428571428571429,-0.714285714285714,1,-0.714285714285714,-0.714285714285714,-0.571428571428571,1,-0.714285714285714,-0.714285714285714,0.142857142857143,-0.571428571428571,1,-0.714285714285714,1,-0.714285714285714,-0.142857142857143,-0.142857142857143,0.428571428571429,-0.142857142857143,0.714285714285714,0.714285714285714,0.142857142857143,-0.142857142857143,0.428571428571429,-0.142857142857143,0.428571428571429,0.714285714285714,-0.714285714285714,0.714285714285714,-0.714285714285714,-0.714285714285714,1,-0.428571428571429,-0.714285714285714,-0.714285714285714,-0.714285714285714,6,TRUE,0.00396563119629874,FALSE
Chen2023,AML103,LMPP_GMP,Diagnosis,FALSE,1,-0.428571428571429,0,0.285714285714286,1,-0.428571428571429,-0.142857142857143,0.428571428571429,1,0.142857142857143,-0.428571428571429,0.142857142857143,0.142857142857143,0.142857142857143,-0.428571428571429,0.142857142857143,0.142857142857143,1,0.142857142857143,0.142857142857143,0.714285714285714,-0.714285714285714,-0.142857142857143,0.714285714285714,0.428571428571429,-0.142857142857143,1,-0.428571428571429,-0.142857142857143,0.142857142857143,-0.428571428571429,0.428571428571429,-0.142857142857143,0.142857142857143,0.428571428571429,-0.714285714285714,0.142857142857143,0.714285714285714,0.142857142857143,-0.142857142857143,0.714285714285714,-0.428571428571429,-0.142857142857143,0.142857142857143,-0.142857142857143,0.428571428571429,-0.142857142857143,0.142857142857143,0.428571428571429,-0.428571428571429,-0.428571428571429,0.714285714285714,0.714285714285714,-0.714285714285714,0.714285714285714,0.142857142857143,-0.714285714285714,0.142857142857143,-0.714285714285714,-0.428571428571429,-0.142857142857143,0.714285714285714,0.428571428571429,-0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,-0.142857142857143,0.428571428571429,0.142857142857143,0.428571428571429,0.142857142857143,-0.142857142857143,0.428571428571429,0.142857142857143,0.428571428571429,0.142857142857143,-0.142857142857143,0.428571428571429,0.142857142857143,0.142857142857143,0.142857142857143,-0.142857142857143,0.428571428571429,0.142857142857143,-0.142857142857143,0.428571428571429,0.142857142857143,0.428571428571429,-0.142857142857143,1,0.142857142857143,-0.142857142857143,-0.428571428571429,0.142857142857143,-0.428571428571429,-0.428571428571429,-0.142857142857143,0.428571428571429,-0.142857142857143,0.142857142857143,-0.142857142857143,0.714285714285714,-0.428571428571429,0.142857142857143,0.428571428571429,0.428571428571429,-0.714285714285714,0.714285714285714,0.428571428571429,0.142857142857143,0.142857142857143,0.714285714285714,-0.714285714285714,0.714285714285714,-0.714285714285714,-0.142857142857143,0.428571428571429,0.428571428571429,-0.428571428571429,0.142857142857143,0.142857142857143,-0.428571428571429,55,TRUE,0.0363516192994052,FALSE
Chen2023,AML103,Mono_DC,Diagnosis,FALSE,0.428571428571429,-0.142857142857143,1,0.285714285714286,0.428571428571429,-0.142857142857143,-0.714285714285714,-0.142857142857143,0.714285714285714,-0.428571428571429,-0.714285714285714,-0.428571428571429,-0.428571428571429,-0.428571428571429,-0.714285714285714,-0.428571428571429,-0.428571428571429,-0.714285714285714,-0.714285714285714,-0.142857142857143,-0.428571428571429,-0.142857142857143,1,-0.714285714285714,1,0.714285714285714,-0.428571428571429,-0.714285714285714,0.142857142857143,1,0.142857142857143,1,0.142857142857143,-0.142857142857143,0.714285714285714,0.142857142857143,1,-0.714285714285714,1,0.714285714285714,-0.428571428571429,-0.714285714285714,0.428571428571429,1,0.428571428571429,1,0.142857142857143,-0.142857142857143,0.714285714285714,-0.142857142857143,1,-0.428571428571429,1,0.428571428571429,-0.428571428571429,-0.428571428571429,-0.428571428571429,0.714285714285714,-0.428571428571429,1,0.714285714285714,-0.428571428571429,0.714285714285714,1,1,-0.142857142857143,0.428571428571429,0.428571428571429,-0.428571428571429,0.428571428571429,0.714285714285714,-0.428571428571429,0.142857142857143,0.714285714285714,-0.142857142857143,1,1,1,-0.428571428571429,0.428571428571429,0.428571428571429,-0.428571428571429,0.428571428571429,0.714285714285714,-0.428571428571429,0.428571428571429,0.714285714285714,-0.142857142857143,1,0.714285714285714,0.714285714285714,-0.142857142857143,0.714285714285714,0.428571428571429,-0.142857142857143,0.714285714285714,1,0.142857142857143,0.714285714285714,0.714285714285714,-0.142857142857143,1,1,0.428571428571429,1,-0.428571428571429,1,0.142857142857143,1,0.714285714285714,1,-0.428571428571429,1,0.142857142857143,1,-0.142857142857143,1,-0.428571428571429,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,1,698,TRUE,0.461335095836087,FALSE
Chen2023,AML103,Erythroid,Diagnosis,FALSE,-0.571428571428571,-0.714285714285714,0,0.285714285714286,-0.142857142857143,-0.714285714285714,0.285714285714286,0.142857142857143,0.285714285714286,0.428571428571429,0.714285714285714,0.714285714285714,0.714285714285714,0.428571428571429,0.714285714285714,0.714285714285714,0.714285714285714,0.285714285714286,0.571428571428571,0.571428571428571,0.285714285714286,0.142857142857143,-0.428571428571429,1,-0.428571428571429,-0.428571428571429,0.142857142857143,0.428571428571429,-0.428571428571429,-0.428571428571429,-0.142857142857143,-0.714285714285714,-0.428571428571429,0.428571428571429,-0.714285714285714,0.428571428571429,-0.428571428571429,1,-0.428571428571429,-0.428571428571429,0.142857142857143,0.428571428571429,-0.428571428571429,-0.428571428571429,0.142857142857143,-0.714285714285714,-0.428571428571429,0.428571428571429,-0.714285714285714,0.285714285714286,0,0.285714285714286,0.285714285714286,-0.285714285714286,0.285714285714286,0.571428571428571,0,-0.571428571428571,0.571428571428571,0,-0.571428571428571,0,-0.285714285714286,-0.428571428571429,0.428571428571429,0.714285714285714,-0.428571428571429,-0.428571428571429,-0.142857142857143,-0.428571428571429,-0.142857142857143,-0.142857142857143,0.714285714285714,-0.142857142857143,0.714285714285714,-0.142857142857143,-0.428571428571429,0.428571428571429,0.714285714285714,-0.428571428571429,-0.428571428571429,-0.142857142857143,-0.428571428571429,-0.142857142857143,-0.142857142857143,0.714285714285714,-0.428571428571429,0.714285714285714,-0.142857142857143,-0.571428571428571,0,0.571428571428571,0.285714285714286,0,0.571428571428571,0,0.571428571428571,0.571428571428571,-0.285714285714286,0.285714285714286,0.571428571428571,0.571428571428571,0.142857142857143,0.714285714285714,0.714285714285714,0.142857142857143,-0.142857142857143,0.428571428571429,-0.142857142857143,0.142857142857143,0.714285714285714,0.428571428571429,-0.142857142857143,0.428571428571429,0.285714285714286,0.285714285714286,0.285714285714286,0,-0.285714285714286,0.285714285714286,-0.428571428571429,-0.428571428571429,0.285714285714286,7,TRUE,0.0046265697290152,FALSE
Chen2023,AML103,Megakaryocyte,Diagnosis,FALSE,-0.571428571428571,0.714285714285714,0,0.285714285714286,0.142857142857143,0.714285714285714,0.285714285714286,0.714285714285714,0.285714285714286,0.714285714285714,0.428571428571429,0.428571428571429,0.428571428571429,0.714285714285714,0.428571428571429,0.428571428571429,0.428571428571429,0.285714285714286,0.571428571428571,0.571428571428571,0.285714285714286,0.428571428571429,0.428571428571429,-0.142857142857143,-0.714285714285714,-0.714285714285714,0.714285714285714,-0.142857142857143,-0.714285714285714,0.714285714285714,-0.714285714285714,0.142857142857143,-0.714285714285714,1,0.142857142857143,0.714285714285714,0.428571428571429,0.142857142857143,-0.714285714285714,-0.714285714285714,1,0.142857142857143,-0.714285714285714,0.714285714285714,-0.714285714285714,0.142857142857143,-0.714285714285714,1,0.142857142857143,0.285714285714286,0,0.285714285714286,0.285714285714286,-0.285714285714286,0.285714285714286,0.571428571428571,0,-0.571428571428571,0.571428571428571,0,-0.571428571428571,0,-0.285714285714286,-0.714285714285714,0.714285714285714,0.428571428571429,-0.428571428571429,-0.714285714285714,-0.714285714285714,-0.714285714285714,-0.714285714285714,-0.714285714285714,1,-0.714285714285714,1,-0.428571428571429,-0.714285714285714,0.714285714285714,0.142857142857143,-0.428571428571429,-0.714285714285714,-0.714285714285714,-0.714285714285714,-0.714285714285714,-0.714285714285714,1,-0.714285714285714,1,-0.428571428571429,-0.571428571428571,0,0.571428571428571,0.285714285714286,0,0.571428571428571,0,0.571428571428571,0.571428571428571,-0.285714285714286,0.285714285714286,0.571428571428571,0.571428571428571,0.428571428571429,1,-0.142857142857143,-0.714285714285714,0.142857142857143,1,0.428571428571429,1,-0.142857142857143,-0.714285714285714,0.142857142857143,1,0.285714285714286,0.285714285714286,0.285714285714286,0,-0.285714285714286,0.285714285714286,-0.142857142857143,-0.142857142857143,0.285714285714286,3,TRUE,0.00198281559814937,FALSE
Chen2023,AML103,T_NK,Diagnosis,FALSE,0.142857142857143,0.428571428571429,0,0.285714285714286,-0.428571428571429,0.428571428571429,0.714285714285714,-0.714285714285714,-0.714285714285714,-0.714285714285714,-0.142857142857143,-0.142857142857143,-0.142857142857143,-0.714285714285714,-0.142857142857143,-0.142857142857143,-0.142857142857143,-0.142857142857143,-0.428571428571429,-0.428571428571429,-0.142857142857143,-0.428571428571429,0.142857142857143,-0.428571428571429,0.714285714285714,1,0.428571428571429,1,0.714285714285714,-0.142857142857143,1,0.714285714285714,0.428571428571429,-0.428571428571429,1,-0.428571428571429,-0.142857142857143,-0.428571428571429,0.714285714285714,1,0.428571428571429,1,0.714285714285714,-0.142857142857143,1,0.714285714285714,0.428571428571429,-0.428571428571429,1,-0.714285714285714,0.714285714285714,-0.714285714285714,-0.714285714285714,1,-0.142857142857143,-0.142857142857143,0.428571428571429,0.428571428571429,0.142857142857143,0.428571428571429,0.428571428571429,0.428571428571429,1,0.142857142857143,-0.142857142857143,1,1,1,1,1,-0.428571428571429,1,-0.428571428571429,1,-0.714285714285714,0.142857142857143,0.428571428571429,0.142857142857143,1,1,1,1,1,-0.428571428571429,1,-0.428571428571429,1,-0.714285714285714,0.142857142857143,0.142857142857143,-0.428571428571429,1,1,0.714285714285714,1,1,-0.714285714285714,1,0.142857142857143,1,-0.571428571428571,0.142857142857143,-0.428571428571429,-0.714285714285714,-0.714285714285714,1,-0.428571428571429,-0.428571428571429,-0.428571428571429,-0.714285714285714,-0.714285714285714,1,-0.428571428571429,-0.428571428571429,-0.142857142857143,-0.428571428571429,0.714285714285714,0.714285714285714,0.142857142857143,-0.428571428571429,0.428571428571429,0.428571428571429,0.285714285714286,244,TRUE,0.161269001982816,FALSE
Chen2023,AML103,B_Plasma,Diagnosis,FALSE,-0.142857142857143,0.142857142857143,0,0.285714285714286,-0.714285714285714,0.142857142857143,-0.428571428571429,-0.428571428571429,-0.428571428571429,-0.142857142857143,0.142857142857143,-0.714285714285714,-0.714285714285714,-0.142857142857143,0.142857142857143,-0.714285714285714,-0.714285714285714,-0.428571428571429,-0.142857142857143,-0.714285714285714,-0.714285714285714,1,0.714285714285714,0.142857142857143,-0.142857142857143,0.142857142857143,-0.714285714285714,0.714285714285714,1,0.428571428571429,0.714285714285714,-0.142857142857143,0.714285714285714,-0.714285714285714,-0.428571428571429,1,0.714285714285714,0.428571428571429,-0.142857142857143,0.142857142857143,-0.714285714285714,0.714285714285714,1,0.428571428571429,0.714285714285714,-0.142857142857143,0.714285714285714,-0.714285714285714,-0.428571428571429,0.714285714285714,0.428571428571429,-0.142857142857143,-0.142857142857143,0.142857142857143,-0.714285714285714,-0.714285714285714,0.714285714285714,-0.142857142857143,-0.142857142857143,0.714285714285714,0.142857142857143,-0.714285714285714,-0.714285714285714,0.714285714285714,-0.428571428571429,-0.714285714285714,0.714285714285714,0.142857142857143,0.142857142857143,0.714285714285714,0.142857142857143,0.428571428571429,-0.714285714285714,0.142857142857143,-0.428571428571429,0.714285714285714,0.714285714285714,-0.428571428571429,-0.714285714285714,0.714285714285714,0.714285714285714,0.428571428571429,0.714285714285714,0.142857142857143,0.428571428571429,-0.714285714285714,0.142857142857143,-0.428571428571429,0.714285714285714,0.428571428571429,0.428571428571429,-0.428571428571429,-0.571428571428571,-0.714285714285714,-0.428571428571429,0.428571428571429,-0.142857142857143,-0.571428571428571,-0.714285714285714,-0.428571428571429,-0.571428571428571,-0.428571428571429,-0.714285714285714,0.142857142857143,-0.428571428571429,0.714285714285714,-0.714285714285714,-0.142857142857143,-0.714285714285714,-0.428571428571429,-0.428571428571429,0.714285714285714,-0.714285714285714,-0.142857142857143,-0.428571428571429,1,-0.428571428571429,1,-0.714285714285714,1,1,1,0.285714285714286,500,TRUE,0.330469266358229,FALSE
Chen2023,AML162,HSC_MPP,Diagnosis,FALSE,-0.428571428571429,1,0,-0.714285714285714,-0.714285714285714,1,1,1,0.142857142857143,1,1,1,1,1,1,1,1,0.714285714285714,1,1,-0.142857142857143,0.428571428571429,-0.142857142857143,-0.142857142857143,-0.142857142857143,0.428571428571429,0.714285714285714,0.714285714285714,-0.714285714285714,-0.714285714285714,0.428571428571429,0.142857142857143,-0.714285714285714,0.428571428571429,-0.428571428571429,0.428571428571429,-0.142857142857143,-0.142857142857143,-0.142857142857143,0.428571428571429,0.714285714285714,0.714285714285714,-0.714285714285714,-0.714285714285714,0.142857142857143,0.142857142857143,-0.142857142857143,0.428571428571429,-0.428571428571429,0.714285714285714,0.714285714285714,-0.142857142857143,0.428571428571429,0.714285714285714,1,0.428571428571429,0.142857142857143,1,1,-0.714285714285714,-0.714285714285714,1,-0.428571428571429,0.428571428571429,0.142857142857143,0.428571428571429,-0.142857142857143,0.714285714285714,0.428571428571429,0.714285714285714,1,0.714285714285714,-0.428571428571429,-0.142857142857143,1,-0.142857142857143,0.428571428571429,0.142857142857143,0.428571428571429,0.142857142857143,0.714285714285714,0.428571428571429,0.714285714285714,1,0.714285714285714,-0.428571428571429,-0.142857142857143,1,0.428571428571429,0.714285714285714,1,0.142857142857143,-0.571428571428571,0.428571428571429,0.428571428571429,0.714285714285714,-0.714285714285714,1,-0.714285714285714,-0.142857142857143,1,-0.142857142857143,-0.142857142857143,1,0.428571428571429,0.142857142857143,0.714285714285714,-0.428571428571429,0.142857142857143,1,0.428571428571429,0.142857142857143,0.714285714285714,-0.428571428571429,-0.142857142857143,-0.714285714285714,0.714285714285714,-0.142857142857143,1,-0.285714285714286,-0.714285714285714,-0.714285714285714,-0.714285714285714,90,TRUE,0.0226187484292536,FALSE
Chen2023,AML162,LMPP_GMP,Diagnosis,FALSE,0.142857142857143,-0.714285714285714,0,0.285714285714286,-0.428571428571429,-0.714285714285714,-0.714285714285714,0.428571428571429,0.428571428571429,0.714285714285714,0.428571428571429,0.714285714285714,0.714285714285714,0.714285714285714,0.428571428571429,0.714285714285714,0.714285714285714,1,-0.142857142857143,0.142857142857143,0.714285714285714,-0.142857142857143,0.142857142857143,1,0.428571428571429,-0.142857142857143,0.428571428571429,-0.142857142857143,-0.142857142857143,-0.142857142857143,-0.714285714285714,0.714285714285714,0.142857142857143,-0.428571428571429,0.714285714285714,-0.142857142857143,0.142857142857143,1,0.428571428571429,-0.142857142857143,0.428571428571429,-0.142857142857143,-0.142857142857143,-0.142857142857143,-0.714285714285714,0.714285714285714,0.142857142857143,-0.428571428571429,0.714285714285714,-0.428571428571429,-0.142857142857143,0.714285714285714,0.142857142857143,-0.142857142857143,0.428571428571429,-0.142857142857143,-0.428571428571429,-0.142857142857143,-0.142857142857143,-0.142857142857143,0.142857142857143,-0.142857142857143,0.714285714285714,0.142857142857143,-0.142857142857143,0.714285714285714,-0.428571428571429,-0.142857142857143,-0.142857142857143,-0.142857142857143,0.142857142857143,0.142857142857143,-0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,-0.428571428571429,0.714285714285714,-0.428571428571429,-0.142857142857143,-0.142857142857143,-0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,-0.428571428571429,0.428571428571429,-0.142857142857143,-0.142857142857143,0.142857142857143,-0.428571428571429,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,-0.142857142857143,0.428571428571429,0.142857142857143,0.428571428571429,0.142857142857143,0.428571428571429,0.428571428571429,-0.714285714285714,0.428571428571429,0.428571428571429,-0.142857142857143,0.428571428571429,0.428571428571429,-0.714285714285714,0.142857142857143,0.142857142857143,-0.428571428571429,0.714285714285714,0.142857142857143,0.714285714285714,-0.428571428571429,-0.428571428571429,-0.428571428571429,641,TRUE,0.161095752701684,FALSE
Chen2023,AML162,Mono_DC,Diagnosis,FALSE,-0.142857142857143,-0.142857142857143,1,0.285714285714286,0.142857142857143,-0.142857142857143,0.428571428571429,-0.142857142857143,-0.142857142857143,-0.142857142857143,-0.428571428571429,-0.428571428571429,-0.142857142857143,-0.142857142857143,-0.428571428571429,-0.142857142857143,-0.142857142857143,-0.428571428571429,-0.428571428571429,-0.142857142857143,0.142857142857143,0.142857142857143,1,-0.428571428571429,1,0.142857142857143,-0.428571428571429,0.142857142857143,0.428571428571429,0.714285714285714,0.142857142857143,1,0.714285714285714,0.142857142857143,-0.142857142857143,0.142857142857143,1,-0.428571428571429,1,0.142857142857143,-0.428571428571429,0.142857142857143,0.428571428571429,0.714285714285714,0.428571428571429,1,0.714285714285714,0.142857142857143,-0.142857142857143,-0.142857142857143,1,0.428571428571429,1,-0.428571428571429,0.142857142857143,1,0.428571428571429,0.428571428571429,0.428571428571429,1,0.714285714285714,0.142857142857143,0.142857142857143,1,0.428571428571429,-0.428571428571429,0.428571428571429,-0.428571428571429,0.142857142857143,0.142857142857143,0.714285714285714,-0.142857142857143,1,0.714285714285714,0.428571428571429,0.714285714285714,1,0.428571428571429,-0.428571428571429,0.428571428571429,-0.428571428571429,0.142857142857143,0.142857142857143,0.714285714285714,-0.142857142857143,0.714285714285714,0.714285714285714,0.428571428571429,0.714285714285714,0.428571428571429,0.142857142857143,-0.142857142857143,0.428571428571429,-0.428571428571429,-0.428571428571429,0.142857142857143,1,-0.142857142857143,0.428571428571429,0.714285714285714,0.714285714285714,0.142857142857143,0.714285714285714,0.142857142857143,1,-0.428571428571429,1,1,1,0.142857142857143,1,-0.428571428571429,1,1,0.428571428571429,0.428571428571429,0.142857142857143,-0.142857142857143,0.428571428571429,1,0.714285714285714,0.714285714285714,0.714285714285714,1291,TRUE,0.324453380246293,FALSE
