sample_id,dataset,n_total,n_singler_TB,n_ref,frac_ref,val_lineage_pos,val_blast_drop,method,decision,fallback,fallback_mode
GSM5613763_2019-11-26-count-2,GSE185381,7929,2075,2073,0.261445327279607,0.915,2,singleR,autologous_ok,FALSE,external
GSM5613764_2020-01-03-count-1,GSE185381,7214,1230,1191,0.16509564735237,0.959,39,singleR,autologous_ok,FALSE,external
GSM5613765_2020-01-03-count-2,GSE185381,7821,1295,1268,0.16212760516558,0.938,27,singleR,autologous_ok,FALSE,external
GSM5613766_2020-03-18-AML0048-c1,GSE185381,1888,138,137,0.0725635593220339,0.876,1,singleR,autologous_ok,FALSE,external
GSM5613767_2020-03-18-AML0048-c2,GSE185381,2004,165,165,0.0823353293413174,0.867,0,singleR,autologous_ok,FALSE,external
GSM5613768_2020-03-18-AML3266,GSE185381,1468,370,370,0.252043596730245,0.941,0,singleR,autologous_ok,FALSE,external
GSM5613769_2020-03-18-count-1,GSE185381,5573,1473,1469,0.263592320114839,0.872,4,singleR,autologous_ok,FALSE,external
GSM5613770_2020-03-18-count-2,GSE185381,5230,1270,1269,0.24263862332696,0.857,1,singleR,autologous_ok,FALSE,external
GSM5613771_2020-03-18-count-3,GSE185381,5008,1362,1359,0.271365814696486,0.89,3,singleR,autologous_ok,FALSE,external
GSM5613774_2020-08-26-Control4003-c1,GSE185381,1014,522,519,0.511834319526627,0.965,3,singleR,autologous_ok,FALSE,external
GSM5613775_2020-08-26-Control4003-c2,GSE185381,2197,848,840,0.382339553937187,0.975,8,singleR,autologous_ok,FALSE,external
GSM5613776_2020-08-26-Control4003-c3,GSE185381,1952,755,745,0.381659836065574,0.976,10,singleR,autologous_ok,FALSE,external
GSM5613777_2020-09-11-AML4340_AML1371-c1,GSE185381,2617,1823,1815,0.69354222392052,0.981,8,singleR,autologous_ok,FALSE,external
GSM5613778_2020-09-11-AML4340_AML1371-c2,GSE185381,2663,1872,1863,0.699586932031543,0.978,9,singleR,autologous_ok,FALSE,external
GSM5613779_2020-09-15-AML0024,GSE185381,4920,7,0,0,1,7,singleR,fallback_external,TRUE,external
GSM5613780_2020-10-06-AML4897,GSE185381,2439,1719,1718,0.704387043870439,0.938,1,singleR,autologous_ok,FALSE,external
GSM5613781_2020-10-06-count2,GSE185381,3817,1121,1116,0.292376211684569,0.953,5,singleR,autologous_ok,FALSE,external
GSM5613782_2020-10-06-count4_0.95,GSE185381,2555,1129,1128,0.441487279843444,0.926,1,singleR,autologous_ok,FALSE,external
GSM5613784_2021-03-09-AML0693,GSE185381,2897,997,969,0.334483948912668,0.782,28,singleR,autologous_ok,FALSE,external
GSM5613785_2021-03-09-AML3948,GSE185381,6754,356,356,0.0527095054782351,0.876,0,singleR,autologous_ok,FALSE,external
GSM5613786_2021-03-09-AMLMS3730,GSE185381,4680,194,190,0.0405982905982906,0.816,4,singleR,autologous_ok,FALSE,external
GSM5613787_2021-03-09-count1_0.95,GSE185381,2430,792,789,0.324691358024691,0.973,3,singleR,autologous_ok,FALSE,external
GSM5613788_2021-03-09-Z-1-1,GSE185381,825,267,267,0.323636363636364,0.682,0,singleR,autologous_ok,FALSE,external
GSM5613789_2021-03-09-Z-1-2,GSE185381,970,344,341,0.351546391752577,0.686,3,singleR,autologous_ok,FALSE,external
GSM5613790_2021-03-09-Z-1-3,GSE185381,1670,391,385,0.230538922155689,0.831,6,singleR,autologous_ok,FALSE,external
GSM5613791_2019-10-21-1-Control0004,GSE185381,12032,11959,11959,0.993932845744681,0.934,0,singleR,autologous_ok,FALSE,external
GSM5613793_2020-03-18-82,GSE185381,1106,1034,1033,0.933996383363472,0.948,1,singleR,autologous_ok,FALSE,external
GSM5613795_2020-05-22-5prime_2,GSE185381,1347,1332,1332,0.988864142538976,0.948,0,singleR,autologous_ok,FALSE,external
GSM5613796_2020-08-07-MDS-AML_cDNA1,GSE185381,1416,1403,1402,0.990112994350282,1,1,singleR,autologous_ok,FALSE,external
GSM5613797_2020-08-07-MDS-AML_cDNA2,GSE185381,1078,1072,1072,0.99443413729128,0.998,0,singleR,autologous_ok,FALSE,external
GSM5613800_2021-04-29-0102_cDNA,GSE185381,1479,1470,1470,0.993914807302231,0.999,0,singleR,autologous_ok,FALSE,external
GSM5613801_2021-04-29-0134_cDNA,GSE185381,1435,1428,1428,0.995121951219512,0.963,0,singleR,autologous_ok,FALSE,external
GSM5613804_2021-04-29-2910_cDNA,GSE185381,2197,2180,2180,0.992262175694128,0.895,0,singleR,autologous_ok,FALSE,external
