dataset,n_samples,n_cells,med,p95,threshold
Chen2023,4,2946,0.487,0.6476,0.651629609332248
E-MTAB-11536,2,25,0.6343,0.667,0.651629609332248
GSE185381,10,234,0.5351,0.6551,0.651629609332248
GSE253355,12,2930,0.5231,0.6555,0.651629609332248
