sample,dataset,n_qc_cells,arms,n_types,evidence_tier,conflict_frac,expr_conflict_frac,n_called,called_frac,n_malignant,malignant_frac,n_high,n_conflicting,n_low_single
007SCRBL,GSE147989,1326,infercnv,1,C_single,0,,1326,1,0,0,0,0,1326
009C1D1BL,GSE147989,736,infercnv,1,C_single,0,,736,1,0,0,0,0,736
009SCRBL,GSE147989,1000,infercnv,1,C_single,0,,1000,1,0,0,0,0,1000
AML001,GSE185381,358,infercnv,1,C_single,0,,358,1,146,0.4078,0,0,358
AML0024,GSE185381,4718,infercnv,1,C_single,0,,4718,1,62,0.0131,0,0,4718
AML003,GSE185381,5385,infercnv,1,C_single,0,,5385,1,174,0.0323,0,0,5385
AML0048,GSE185381,3785,infercnv,1,C_single,0,,3785,1,1312,0.3466,0,0,3785
AML005,GSE185381,3646,infercnv,1,C_single,0,,3646,1,128,0.0351,0,0,3646
AML006,GSE185381,2568,infercnv,1,C_single,0,,2568,1,54,0.021,0,0,2568
AML008,GSE185381,3579,infercnv,1,C_single,0,,3579,1,316,0.0883,0,0,3579
AML009,GSE185381,2754,infercnv,1,C_single,0,,2754,1,518,0.1881,0,0,2754
AML0114,GSE185381,4482,infercnv,1,C_single,0,,4482,1,208,0.0464,0,0,4482
AML012,GSE185381,4264,infercnv,1,C_single,0,,4264,1,297,0.0697,0,0,4264
AML0160,GSE185381,1926,infercnv,1,C_single,0,,1926,1,5,0.0026,0,0,1926
AML022,GSE185381,771,infercnv,1,C_single,0,,771,1,30,0.0389,0,0,771
AML025,GSE185381,3237,infercnv,1,C_single,0,,3237,1,50,0.0154,0,0,3237
AML026,GSE185381,946,infercnv,1,C_single,0,,946,1,80,0.0846,0,0,946
AML028,GSE185381,4038,infercnv,1,C_single,0,,4038,1,567,0.1404,0,0,4038
AML0310,GSE185381,4139,infercnv,1,C_single,0,,4139,1,12,0.0029,0,0,4139
AML0361,GSE185381,1215,infercnv,1,C_single,0,,1215,1,57,0.0469,0,0,1215
AML038,GSE185381,3002,infercnv,1,C_single,0,,3002,1,25,0.0083,0,0,3002
AML043,GSE185381,1223,infercnv,1,C_single,0,,1223,1,31,0.0253,0,0,1223
AML048,GSE185381,2068,infercnv,1,C_single,0,,2068,1,59,0.0285,0,0,2068
AML051,GSE185381,1508,infercnv,1,C_single,0,,1508,1,112,0.0743,0,0,1508
AML052,GSE185381,6601,infercnv,1,C_single,0,,6601,1,587,0.0889,0,0,6601
AML055,GSE185381,4760,infercnv,1,C_single,0,,4760,1,166,0.0349,0,0,4760
AML056,GSE185381,1841,infercnv,1,C_single,0,,1841,1,65,0.0353,0,0,1841
AML0612,GSE185381,8469,infercnv,1,C_single,0,,8469,1,332,0.0392,0,0,8469
