dataset,sample,n_cells,frac,healthy
GSE185991,GSM6412455_M95,1486,0.837146702557201,FALSE
GSE201966,GSM6085176_AML01M4_CR,11,0.181818181818182,FALSE
GSE201966,GSM6085177_AML01M4_P,63,0.26984126984127,FALSE
GSE201966,GSM6085178_AML01M4_RE,757,0.186261558784676,FALSE
GSE201966,GSM6085179_AML02M5_P,18,0.5,FALSE
GSE201966,GSM6085180_AML02M5_RE,333,0.312312312312312,FALSE
GSE201966,GSM6085181_AML03M5_P,24,0.25,FALSE
GSE201966,GSM6085182_AML03M5_RE,5,0.4,FALSE
GSE207356,GSM6284912_TS173_04_Sample_D,3589,0.651156310950125,FALSE
GSE207356,GSM6284913_TS173_05_Sample_E,2187,0.302240512117055,FALSE
GSE207356,GSM6284914_TS173_06_Sample_F,1584,0.578282828282828,FALSE
GSE227903,1216_Dg,127,0,FALSE
GSE227903,1216_MRD,54,0.444444444444444,FALSE
GSE227903,1216_R,542,0.0350553505535055,FALSE
GSE227903,1886_Dg,716,0.547486033519553,FALSE
GSE227903,1886_MRD,55,0.272727272727273,FALSE
GSE227903,1886_R,288,0.690972222222222,FALSE
GSE227903,3822_R,34,0.794117647058824,FALSE
GSE227903,3853_Dg,291,0.972508591065292,FALSE
GSE227903,3853_R,104,0.875,FALSE
GSE227903,3904_Dg,861,0.0313588850174216,FALSE
GSE227903,3904_MRD,55,0.6,FALSE
GSE227903,3904_R,937,0.0362860192102455,FALSE
GSE227903,40389_Dg,97,0.319587628865979,FALSE
GSE227903,40389_MRD,26,0.615384615384615,FALSE
GSE227903,40389_R,114,0.447368421052632,FALSE
GSE227903,4978_Dg,462,0.822510822510823,FALSE
GSE227903,4978_MRD,3,1,FALSE
GSE227903,4978_R,1148,0.587979094076655,FALSE
GSE227903,5143_Dg,35,0.971428571428571,FALSE
GSE227903,5143_R,142,0.873239436619718,FALSE
GSE227903,5750_Dg,339,0.542772861356932,FALSE
GSE227903,5750_MRD,45,0.6,FALSE
GSE227903,5750_R,232,0.5,FALSE
GSE227903,6323_Dg,61,0.901639344262295,FALSE
GSE227903,6323_MRD,26,0.0384615384615385,FALSE
GSE227903,6323_R,107,0.570093457943925,FALSE
GSE227903,6323_R2,752,0.268617021276596,FALSE
GSE239721,PT10A,658,0.689969604863222,FALSE
GSE239721,PT12A,15,0.8,FALSE
GSE239721,PT13A,44,0.613636363636364,FALSE
GSE239721,PT14A,22,0.954545454545455,FALSE
GSE239721,PT15A,2845,0.147627416520211,FALSE
GSE239721,PT16A,1071,0.613445378151261,FALSE
GSE239721,PT17A,505,0.415841584158416,FALSE
GSE239721,PT20A,47,0.0638297872340426,FALSE
GSE239721,PT21A,634,0.545741324921136,FALSE
GSE239721,PT22A,695,0.690647482014389,FALSE
