sample_id	pipeline_sample_id	join_rule
GSE185381__AML001	AML001	exact
GSE185381__AML0024	AML0024	exact
GSE185381__AML003	AML003	exact
GSE185381__AML0048	AML0048	exact
GSE185381__AML005	AML005	exact
GSE185381__AML006	AML006	exact
GSE185381__AML008	AML008	exact
GSE185381__AML009	AML009	exact
GSE185381__AML0114	AML0114	exact
GSE185381__AML012	AML012	exact
GSE185381__AML0160	AML0160	exact
GSE185381__AML022	AML022	exact
GSE185381__AML025	AML025	exact
GSE185381__AML026	AML026	exact
GSE185381__AML028	AML028	exact
GSE185381__AML0310	AML0310	exact
GSE185381__AML0361	AML0361	exact
GSE185381__AML038	AML038	exact
GSE185381__AML043	AML043	exact
GSE185381__AML048	AML048	exact
GSE185381__AML051	AML051	exact
GSE185381__AML052	AML052	exact
GSE185381__AML055	AML055	exact
GSE185381__AML056	AML056	exact
GSE185381__AML0612	AML0612	exact
GSE185381__AML0693	AML0693	exact
GSE185381__AML073	AML073	exact
GSE185381__AML1371	AML1371	exact
GSE185381__AML2123	AML2123	exact
GSE185381__AML2451	AML2451	exact
GSE185381__AML2910	AML2910	exact
GSE185381__AML3050	AML3050	exact
GSE185381__AML3133	AML3133	exact
GSE185381__AML3266	AML3266	exact
GSE185381__AML3730	AML3730	exact
GSE185381__AML3762	AML3762	exact
GSE185381__AML3948	AML3948	exact
GSE185381__AML4340	AML4340	exact
GSE185381__AML4897	AML4897	exact
GSE185381__Control0004	Control0004	exact
GSE185381__Control0005	Control0005	exact
GSE185381__Control0058	Control0058	exact
GSE185381__Control0082	Control0082	exact
GSE185381__Control1	Control1	exact
GSE185381__Control2	Control2	exact
GSE185381__Control3	Control3	exact
GSE185381__Control4	Control4	exact
GSE185381__Control4003	Control4003	exact
GSE185381__Control5	Control5	exact
GSE185381__PAUMTZ	PAUMTZ	exact
GSE185381__PAWWEE	PAWWEE	exact
GSE185381__PAXMIJ	PAXMIJ	exact
