dataset	sample_id	pipeline_sample_id	join_rule
Chen2023	Chen2023__NBM1	NBM1	exact
Chen2023	Chen2023__NBM2	NBM2	exact
Chen2023	Chen2023__NBM3	NBM3	exact
Chen2023	Chen2023__NBM4	NBM4	exact
Chen2023	Chen2023__AML103	AML103	exact
Chen2023	Chen2023__AML24	AML24	exact
Chen2023	Chen2023__AML162	AML162	exact
Chen2023	Chen2023__AML304	AML304	exact
Chen2023	Chen2023__AML320	AML320	exact
Chen2023	Chen2023__AML469	AML469	exact
E-MTAB-11536	E-MTAB-11536__A29-BMA-1	A29-BMA	suffix_strip
E-MTAB-11536	E-MTAB-11536__A31-BMA-1	A31-BMA	suffix_strip
E-MTAB-11536	E-MTAB-11536__A35-BMA-1	A35-BMA	suffix_strip
E-MTAB-11536	E-MTAB-11536__A36-BMA-1	A36-BMA	suffix_strip
E-MTAB-11536	E-MTAB-11536__A37-BMA-1	A37-BMA	suffix_strip
E-MTAB-11536	E-MTAB-11536__621B-BMA-90	621B-BMA	suffix_strip
E-MTAB-11536	E-MTAB-11536__637C-BMA-104	637C-BMA	suffix_strip
E-MTAB-11536	E-MTAB-11536__640C-BMA-121	640C-BMA	suffix_strip
E-MTAB-11536	E-MTAB-11536__D496-BMA-80	""	UNRESOLVED
E-MTAB-11536	E-MTAB-11536__D503-BMA-72	""	UNRESOLVED
GSE116256	GSE116256__BM1	BM1	exact
GSE116256	GSE116256__BM2	BM2	exact
GSE116256	GSE116256__BM3	BM3	exact
GSE116256	GSE116256__BM4	BM4	exact
GSE116256	GSE116256__BM5-34p	BM5-34p	exact
GSE116256	GSE116256__BM5-34p38n	BM5-34p38n	exact
GSE116256	GSE116256__AML1012-D0	AML1012-D0	exact
GSE116256	GSE116256__AML210A-D0	AML210A-D0	exact
GSE116256	GSE116256__AML314-D0	AML314-D0	exact
GSE116256	GSE116256__AML314-D31	AML314-D31	exact
GSE116256	GSE116256__AML328-D0	AML328-D0	exact
GSE116256	GSE116256__AML328-D29	AML328-D29	exact
GSE116256	GSE116256__AML328-D113	AML328-D113	exact
GSE116256	GSE116256__AML328-D171	AML328-D171	exact
GSE116256	GSE116256__AML329-D0	AML329-D0	exact
GSE116256	GSE116256__AML329-D20	AML329-D20	exact
GSE116256	GSE116256__AML329-D37	AML329-D37	exact
GSE116256	GSE116256__AML371-D0	AML371-D0	exact
GSE116256	GSE116256__AML371-D34	AML371-D34	exact
GSE116256	GSE116256__AML419A-D0	AML419A-D0	exact
GSE116256	GSE116256__AML420B-D0	AML420B-D0	exact
GSE116256	GSE116256__AML420B-D14	AML420B-D14	exact
GSE116256	GSE116256__AML420B-D35	AML420B-D35	exact
GSE116256	GSE116256__AML475-D0	AML475-D0	exact
GSE116256	GSE116256__AML475-D29	AML475-D29	exact
GSE116256	GSE116256__AML556-D0	AML556-D0	exact
GSE116256	GSE116256__AML556-D15	AML556-D15	exact
GSE116256	GSE116256__AML556-D31	AML556-D31	exact
GSE116256	GSE116256__AML707B-D0	AML707B-D0	exact
GSE116256	GSE116256__AML707B-D18	AML707B-D18	exact
GSE116256	GSE116256__AML707B-D41	AML707B-D41	exact
GSE116256	GSE116256__AML707B-D97	AML707B-D97	exact
GSE116256	GSE116256__AML707B-D113	AML707B-D113	exact
GSE116256	GSE116256__AML722B-D0	AML722B-D0	exact
GSE116256	GSE116256__AML722B-D49	AML722B-D49	exact
GSE116256	GSE116256__AML870-D0	AML870-D0	exact
GSE116256	GSE116256__AML870-D14	AML870-D14	exact
GSE116256	GSE116256__AML916-D0	AML916-D0	exact
GSE116256	GSE116256__AML921A-D0	AML921A-D0	exact
GSE116256	GSE116256__AML997-D0	AML997-D0	exact
GSE116256	GSE116256__AML997-D35	AML997-D35	exact
GSE147989	GSE147989__007SCRBL	007SCRBL	exact
GSE147989	GSE147989__007C1D1BL	007C1D1BL	exact
GSE147989	GSE147989__009SCRBL	009SCRBL	exact
GSE147989	GSE147989__009C1D1BL	009C1D1BL	exact
GSE185381	GSE185381__AML001	AML001	exact
GSE185381	GSE185381__AML0024	AML0024	exact
GSE185381	GSE185381__AML003	AML003	exact
GSE185381	GSE185381__AML0048	AML0048	exact
GSE185381	GSE185381__AML005	AML005	exact
GSE185381	GSE185381__AML006	AML006	exact
GSE185381	GSE185381__AML008	AML008	exact
GSE185381	GSE185381__AML009	AML009	exact
GSE185381	GSE185381__AML0114	AML0114	exact
GSE185381	GSE185381__AML012	AML012	exact
GSE185381	GSE185381__AML0160	AML0160	exact
GSE185381	GSE185381__AML022	AML022	exact
GSE185381	GSE185381__AML025	AML025	exact
GSE185381	GSE185381__AML026	AML026	exact
GSE185381	GSE185381__AML028	AML028	exact
GSE185381	GSE185381__AML0310	AML0310	exact
GSE185381	GSE185381__AML0361	AML0361	exact
GSE185381	GSE185381__AML038	AML038	exact
GSE185381	GSE185381__AML043	AML043	exact
GSE185381	GSE185381__AML048	AML048	exact
GSE185381	GSE185381__AML051	AML051	exact
GSE185381	GSE185381__AML052	AML052	exact
GSE185381	GSE185381__AML055	AML055	exact
GSE185381	GSE185381__AML056	AML056	exact
GSE185381	GSE185381__AML0612	AML0612	exact
GSE185381	GSE185381__AML0693	AML0693	exact
GSE185381	GSE185381__AML073	AML073	exact
GSE185381	GSE185381__AML1371	AML1371	exact
GSE185381	GSE185381__AML2123	AML2123	exact
GSE185381	GSE185381__AML2451	AML2451	exact
GSE185381	GSE185381__AML2910	AML2910	exact
GSE185381	GSE185381__AML3050	AML3050	exact
GSE185381	GSE185381__AML3133	AML3133	exact
GSE185381	GSE185381__AML3266	AML3266	exact
GSE185381	GSE185381__AML3730	AML3730	exact
GSE185381	GSE185381__AML3762	AML3762	exact
GSE185381	GSE185381__AML3948	AML3948	exact
