sample_id	pipeline_sample_id	join_rule
GSE227903__1216_Dg	1216_Dg	exact
GSE227903__1216_MRD	1216_MRD	exact
GSE227903__1216_R	1216_R	exact
GSE227903__1886_Dg	1886_Dg	exact
GSE227903__1886_MRD	1886_MRD	exact
GSE227903__1886_R	1886_R	exact
GSE227903__3822_Dg	3822_Dg	exact
GSE227903__3822_R	3822_R	exact
GSE227903__3853_Dg	3853_Dg	exact
GSE227903__3853_R	3853_R	exact
GSE227903__3904_Dg	3904_Dg	exact
GSE227903__3904_MRD	3904_MRD	exact
GSE227903__3904_R	3904_R	exact
GSE227903__40389_Dg	40389_Dg	exact
GSE227903__40389_MRD	40389_MRD	exact
GSE227903__40389_R	40389_R	exact
GSE227903__4978_Dg	4978_Dg	exact
GSE227903__4978_MRD	4978_MRD	exact
GSE227903__4978_R	4978_R	exact
GSE227903__5143_Dg	5143_Dg	exact
GSE227903__5143_R	5143_R	exact
GSE227903__5750_Dg	5750_Dg	exact
GSE227903__5750_MRD	5750_MRD	exact
GSE227903__5750_R	5750_R	exact
GSE227903__6323_Dg	6323_Dg	exact
GSE227903__6323_MRD	6323_MRD	exact
GSE227903__6323_R	6323_R	exact
GSE227903__6323_R2	6323_R2	exact
