sample_id	pipeline_sample_id	join_rule
GSE116256__BM1	BM1	exact
GSE116256__BM2	BM2	exact
GSE116256__BM3	BM3	exact
GSE116256__BM4	BM4	exact
GSE116256__BM5-34p	BM5-34p	exact
GSE116256__BM5-34p38n	BM5-34p38n	exact
GSE116256__AML1012-D0	AML1012-D0	exact
GSE116256__AML210A-D0	AML210A-D0	exact
GSE116256__AML314-D0	AML314-D0	exact
GSE116256__AML314-D31	AML314-D31	exact
GSE116256__AML328-D0	AML328-D0	exact
GSE116256__AML328-D29	AML328-D29	exact
GSE116256__AML328-D113	AML328-D113	exact
GSE116256__AML328-D171	AML328-D171	exact
GSE116256__AML329-D0	AML329-D0	exact
GSE116256__AML329-D20	AML329-D20	exact
GSE116256__AML329-D37	AML329-D37	exact
GSE116256__AML371-D0	AML371-D0	exact
GSE116256__AML371-D34	AML371-D34	exact
GSE116256__AML419A-D0	AML419A-D0	exact
GSE116256__AML420B-D0	AML420B-D0	exact
GSE116256__AML420B-D14	AML420B-D14	exact
GSE116256__AML420B-D35	AML420B-D35	exact
GSE116256__AML475-D0	AML475-D0	exact
GSE116256__AML475-D29	AML475-D29	exact
GSE116256__AML556-D0	AML556-D0	exact
GSE116256__AML556-D15	AML556-D15	exact
GSE116256__AML556-D31	AML556-D31	exact
GSE116256__AML707B-D0	AML707B-D0	exact
GSE116256__AML707B-D18	AML707B-D18	exact
GSE116256__AML707B-D41	AML707B-D41	exact
GSE116256__AML707B-D97	AML707B-D97	exact
GSE116256__AML707B-D113	AML707B-D113	exact
GSE116256__AML722B-D0	AML722B-D0	exact
GSE116256__AML722B-D49	AML722B-D49	exact
GSE116256__AML870-D0	AML870-D0	exact
GSE116256__AML870-D14	AML870-D14	exact
GSE116256__AML916-D0	AML916-D0	exact
GSE116256__AML921A-D0	AML921A-D0	exact
GSE116256__AML997-D0	AML997-D0	exact
GSE116256__AML997-D35	AML997-D35	exact
