sample_id	pipeline_sample_id	join_rule
GSE253355__H14_MACS	GSM8019212_H14_MACS	gsm_prefix
GSE253355__H21	GSM8019213_H21	gsm_prefix
GSE253355__H23	GSM8019214_H23	gsm_prefix
GSE253355__H24	GSM8019215_H24	gsm_prefix
GSE253355__H32	GSM8019216_H32	gsm_prefix
GSE253355__H33	GSM8019217_H33	gsm_prefix
GSE253355__H34	GSM8019218_H34	gsm_prefix
GSE253355__H35	GSM8019219_H35	gsm_prefix
GSE253355__H36	GSM8019220_H36	gsm_prefix
GSE253355__H38	GSM8019221_H38	gsm_prefix
GSE253355__H39	GSM8019222_H39	gsm_prefix
GSE253355__H41	GSM8019223_H41	gsm_prefix
