sample_id	pipeline_sample_id	join_rule
GSE185991__PT01_DX	GSM5628163_M03;GSM5628164_M04	gsm_multi_2
GSE185991__PT01_D14	GSM5628165_M05;GSM5628166_M06	gsm_multi_2
GSE185991__PT01_D30	GSM5628177_M27;GSM5628190_M43	gsm_multi_2
GSE185991__PT01_D30_RI	GSM5628177_M27;GSM5628190_M43	gsm_multi_2
GSE185991__PT02_DX	GSM5628175_M25	gsm_prefix
GSE185991__PT02_D30	GSM5628176_M26	gsm_prefix
GSE185991__PT06_DX	GSM5628167_M07;GSM5628168_M08	gsm_multi_2
GSE185991__PT06_D14	GSM5628169_M09;GSM5628170_M10	gsm_multi_2
GSE185991__PT07_DX	GSM5628171_M21;GSM5628172_M22	gsm_multi_2
GSE185991__PT07_D14	GSM5628173_M23;GSM5628174_M24	gsm_multi_2
GSE185991__PT08_DX	GSM5628178_M28	gsm_prefix
GSE185991__PT08_D14	GSM5628179_M29	gsm_prefix
GSE185991__PT08_D30	GSM5628186_M39	gsm_prefix
GSE185991__PT08_REL	GSM5628180_M30;GSM5628181_M31	gsm_multi_2
GSE185991__PT08_REL_NR	GSM5628180_M30;GSM5628181_M31	gsm_multi_2
GSE185991__PT09_DX	GSM5628182_M32	gsm_prefix
GSE185991__PT09_D14	GSM5628184_M34	gsm_prefix
GSE185991__PT09_D30	GSM5628197_M50	gsm_prefix
GSE185991__PT10_DX	GSM5628183_M33	gsm_prefix
GSE185991__PT10_D14	GSM5628185_M35	gsm_prefix
GSE185991__PT10_D30	GSM5628190_M43	gsm_prefix
GSE185991__PT10_REL	GSM5628189_M42	gsm_prefix
GSE185991__PT11_DX	GSM6412447_M36	gsm_prefix
GSE185991__PT11_D30	GSM6412448_M38	gsm_prefix
GSE185991__PT12_DX	GSM5628187_M40	gsm_prefix
GSE185991__PT12_D14	GSM5628191_M44	gsm_prefix
GSE185991__PT12_D30	GSM5628192_M45	gsm_prefix
GSE185991__PT13_DX	GSM5628188_M41	gsm_prefix
GSE185991__PT13_D14	GSM5628191_M44	gsm_prefix
GSE185991__PT13_D30	GSM5628197_M50	gsm_prefix
GSE185991__PT15_DX	GSM5628195_M48	gsm_prefix
GSE185991__PT15_REL	GSM5628196_M49	gsm_prefix
GSE185991__PT17_DX	GSM6412449_M84	gsm_prefix
GSE185991__PT17_D14	GSM6412453_M92	gsm_prefix
GSE185991__PT17_D30	GSM6412450_M85	gsm_prefix
GSE185991__PT18_DX	GSM6412451_M88	gsm_prefix
GSE185991__PT18_D14	GSM6412452_M89	gsm_prefix
GSE185991__PT18_D30	""	UNRESOLVED
GSE185991__PT19_REL	GSM6412454_M93	gsm_prefix
GSE185991__PT20_REL	GSM6412455_M95	gsm_prefix
