alpha,feature_set,features,mean_healthy,mean_aml,beta_global,p_global,beta_strat,p_strat,family,q_strat,split
0.0,only_st_HSPC_core,st_HSPC_core,0.04308955693814921,0.057869373641079074,0.02050667964347382,0.06738693261306739,0.029694853105609733,0.01381098618901381,st,0.10364389635610365,discovery
0.0,only_st_vanGalen_HSC_like,st_vanGalen_HSC_like,0.03294339464365137,0.06861730630792363,0.028416390003227657,0.03757996242003758,0.030795932379448977,0.08030891969108031,st,0.10707855958810708,discovery
0.0,only_st_vanGalen_HSC_Prog,st_vanGalen_HSC_Prog,0.046525796107257406,0.13025874865677123,0.03839157893535145,0.2266927733072267,0.04464036680696036,0.057278942721057276,st,0.10707855958810708,discovery
0.0,only_st_vanGalen_HSCprog_like,st_vanGalen_HSCprog_like,0.029980647202648196,0.10608095803574545,0.0619207141028666,0.018913981086018914,0.06201590988092331,0.03314296685703314,st,0.10364389635610365,discovery
0.0,only_st_HSPC_core_normal,st_HSPC_core_normal,0.0395981682322127,0.06323251890360854,0.020739461282796027,0.12144887855112145,0.026270613675394752,0.024966975033024967,st,0.10364389635610365,discovery
0.0,only_st_vanGalen_HSC_like_normal,st_vanGalen_HSC_like_normal,0.034247066254424204,0.07008558587458992,0.027528129518016246,0.05512294487705512,0.03096819315630864,0.07144092855907144,st,0.10707855958810708,discovery
0.0,only_st_vanGalen_HSC_Prog_normal,st_vanGalen_HSC_Prog_normal,0.03641905074212638,0.12802023814324878,0.04254945417599709,0.1514878485121515,0.04316466501760331,0.07608192391807608,st,0.10707855958810708,discovery
0.0,only_st_vanGalen_HSCprog_like_normal,st_vanGalen_HSCprog_like_normal,0.029530161573546654,0.10573222395504663,0.0630183008359368,0.017113982886017114,0.06315778504091173,0.03454796545203455,st,0.10364389635610365,discovery
0.0,only_st_HSPC_core_malignant,st_HSPC_core_malignant,0.11538790331475066,0.13751728795185683,0.021975858453658487,0.4624975375024625,0.03174805485598725,0.1831958168041832,st,0.21983498016501984,discovery
0.0,only_st_vanGalen_HSC_like_malignant,st_vanGalen_HSC_like_malignant,0.0767664965643988,0.12119630823657356,0.035934923397523605,0.18133781866218135,0.031935365751625866,0.2574617425382575,st,0.2808673554962809,discovery
