[vocab] 115 AML, 23 healthy, 0 excluded (of 138 rows in the index)
[0] subsets=panels -> 141 sets over 141 distinct feature columns
[1] SPLIT=discovery: 77 of 138 samples | AML=57 healthy=20 (controls are shared between arms)
[1] healthy=20 (barycenter 16) | AML=57 | alphas=[0.0]
   0.0                           only_pg_Trail       0.06381   0.13191      0.05023   0.03473     0.05486  0.06020
   0.0                            only_pg_VEGF       0.07938   0.11607      0.01748   0.48467     0.01998  0.48292
   0.0                             only_pg_WNT       0.10144   0.17637      0.04502   0.21895     0.04345  0.26762
   0.0                 only_pg_Androgen_normal       0.11168   0.16223      0.05859   0.04998     0.03349  0.36372
   0.0                     only_pg_EGFR_normal       0.07536   0.12648      0.03972   0.09775     0.02431  0.42766
   0.0                 only_pg_Estrogen_normal       0.06914   0.17677      0.07051   0.05405     0.09460  0.02137
   0.0                  only_pg_Hypoxia_normal       0.08597   0.12173      0.02568   0.31718     0.04018  0.19264
   0.0                 only_pg_JAK_STAT_normal       0.08641   0.20846      0.07331   0.04646     0.07353  0.08960
   0.0                     only_pg_MAPK_normal       0.08282   0.14878      0.07939   0.00701     0.07258  0.03838
   0.0                     only_pg_NFkB_normal       0.17686   0.19076      0.00385   0.92756    -0.01035  0.84417
   0.0                      only_pg_p53_normal       0.04019   0.09631      0.03232   0.11058     0.02881  0.18136
   0.0                     only_pg_PI3K_normal       0.04197   0.11680      0.07268   0.00109     0.08195  0.00180
   0.0                     only_pg_TGFb_normal       0.10083   0.19407      0.05911   0.14695     0.03426  0.41003
   0.0                     only_pg_TNFa_normal       0.07956   0.14443      0.05956   0.04464     0.04075  0.23832
