alpha,feature_set,features,mean_healthy,mean_aml,beta_global,p_global,beta_strat,p_strat,family,q_strat,split
0.0,only_st_HSPC_core,st_HSPC_core,0.02689068400439538,0.11243517216924576,0.06279109630257701,0.021851978148021853,0.054228484231664716,0.04255295744704255,st,0.09292790707209293,discovery
0.0,only_st_vanGalen_HSC_like,st_vanGalen_HSC_like,0.02813527910560698,0.0928185841782034,0.05317847594330529,0.022963977036022962,0.050465167602821055,0.0458009541990458,st,0.09292790707209293,discovery
0.0,only_st_vanGalen_HSC_Prog,st_vanGalen_HSC_Prog,0.06362292595035374,0.10814207171616144,0.010387055981113478,0.6819103180896819,0.01290235672641417,0.4678365321634678,st,0.5717358282641717,discovery
0.0,only_st_vanGalen_HSCprog_like,st_vanGalen_HSCprog_like,0.035148759101736524,0.11164140512688588,0.05010504901586689,0.0646969353030647,0.04705682560648101,0.046463953536046466,st,0.09292790707209293,discovery
0.0,only_st_HSPC_core_normal,st_HSPC_core_normal,0.026974553060181445,0.10766535375370818,0.06144415397838417,0.023366976633023367,0.05315932299952626,0.038718961281038716,st,0.09292790707209293,discovery
0.0,only_st_vanGalen_HSC_like_normal,st_vanGalen_HSC_like_normal,0.028659114978178458,0.10175898773510261,0.05879560357735397,0.021965978034021966,0.052420088520787715,0.03427496572503427,st,0.09292790707209293,discovery
0.0,only_st_vanGalen_HSC_Prog_normal,st_vanGalen_HSC_Prog_normal,0.04772626952930878,0.11098736030824113,0.021004995147173824,0.3801196198803801,0.02106587393084663,0.22393977606022394,st,0.3359096640903359,discovery
0.0,only_st_vanGalen_HSCprog_like_normal,st_vanGalen_HSCprog_like_normal,0.033403620578001766,0.09161699452086906,0.04891307684709238,0.03310996689003311,0.04822708692146262,0.040707959292040706,st,0.09292790707209293,discovery
0.0,only_st_HSPC_core_malignant,st_HSPC_core_malignant,0.10581705713422888,0.09594162847975707,-0.02870639705984765,0.13642986357013642,-0.02566980614641595,0.11990888009111991,st,0.20555808015620558,discovery
0.0,only_st_vanGalen_HSC_like_malignant,st_vanGalen_HSC_like_malignant,0.08555667554731897,0.10521298341922848,-0.002682137383311048,0.9033960966039034,0.0021928372670379265,0.9134960865039135,st,0.9876230123769876,discovery
0.0,only_st_vanGalen_HSC_Prog_malignant,st_vanGalen_HSC_Prog_malignant,0.07415288963151363,0.12778295619028024,0.007153000961951188,0.7737852262147737,-0.00034835711863778155,0.9876230123769876,st,0.9876230123769876,discovery
